Family	Genus	Species	Log10(Body mass [g])	Body mass [g]	Log10(Brain mass [g])	Brain mass [g]	Log(EQ [Jerison, 1973])	EQ [Jerison, 1973]	Estimated age of last appearance (millions of years ago)	Reference for phenotypic data	Reference for phylogenetic position	Reference for age of last appearance	Notes
Balaenopteridae	Balaenoptera	physalus	7.521418323	33221430.038	3.851956940	7111.430	-0.266574582	0.541	0	Manger (2006)	McGowen (2011)	Extant	
Balaenopteridae	Megaptera	novaeangliae	7.594517737	39311329.970	3.808818425	6439.000	-0.358689705	0.438	0	Manger (2006)	McGowen (2011)	Extant	
Eschrichtiidae	Eschrichtius	robustus	7.477121255	30000000.019	3.635148849	4316.670	-0.453703638	0.352	0	Manger (2006)	McGowen (2011)	Extant	
Balaenopteridae	Balaenoptera	musculus	7.706751910	50903999.973	3.560623875	3636.000	-0.682081151	0.208	0	Manger (2006)	McGowen (2011)	Extant	
Balaenopteridae	Balaenoptera	borealis	7.301029996	20000000.015	3.690196080	4900.000	-0.280675263	0.524	0	Manger (2006)	McGowen (2011)	Extant	
Basilosauridae	Basilosaurus	cetoides	6.766412847	5839999.998	3.365600288	2320.600	-0.247077566	0.566	38	Marino et al. (2004); Gingerich (1998)	Uhen (2004)	Daly (1999); Dockery (1998); Miller et al. (2008) 	The body mass in Marino et al. (2004) and Manger (2006) is listed as 6480000kg but was changed to 5840000 kg, which is the species specific estimate from Gingerich (1998)
Basilosauridae	Basilosaurus	isis	6.811575006	6480000.002	3.401400541	2520.000	-0.241535959	0.573	40	Manger (2006)	Uhen (2004)	Seiffert (2006); Gingerich, (1992)	
Basilosauridae	Dorudon	atrox	6.350248018	2239999.998	3.089233731	1228.100	-0.244613687	0.569	40	Marino et al. (2004)	Uhen (2004)	Seiffert (2006); Gingerich, (1992)	
Basilosauridae	Saghacetus	osiris	5.544068044	350000.000	2.588831726	388.000	-0.204875110	0.624	37	Marino et al. (2004)	Uhen (2004)	Seiffert (2006); Gingerich, (1992)	
Basilosauridae	Zygorhiza	kochii	6.309630167	2039999.998	2.918868743	829.600	-0.387764715	0.409	38	Marino et al. (2004)	Uhen (2004)	Daly (1999); Dockery (1998); Miller et al. (2008) 	
Protocetidae	Rodhocetus	kasrani	5.770852012	590000.000	2.463892989	291.000	-0.481759105	0.330	47	Marino et al. (2004); Manger (2006); Gingerich (1998)	Uhen (2004)	Gingerich et al. (1997)	Body mass estimate is taken from Gingerich (1998) because it is based on more measurements, whereas as brain volume is probably more accurate in Marino et al (2004). Gingerich (1998) used the endocast, which is unlikely to be completely separated from the skull.
Remingtonocetidae	Dalanistes	ahmedi	5.875061263	749999.999	2.602059991	400.000	-0.413412301	0.386	45	Marino et al. (2004)	Uhen (2004)	Gingerich et al. (1997)	
Kentriodontidae	Kentriodon	pernix	4.262349030	18295.700	2.362293938	230.300	0.427338842	2.675	19	Marino et al. (2004)	Geisler et al. (2011)	Kidwell (1997); Browning et al. (2006)	
Eurhinodelphinidae	Xiphiacetus	bossi	5.089973605	123019.400	2.977403481	949.300	0.487939920	3.076	19	Manger (2006)	Geisler et al. (2011)	Kidwell (1997); Browning et al. (2006)	
Eurhinodelphinidae	Xiphiacetus	cristatus	5.162793966	145476.876	2.929316727	849.800	0.391063524	2.461	16	Marino et al. (2004)	Lambert (2005)	Kidwell (1997); Browning et al. (2006)	
Eurhinodelphinidae	Schizodelphis 	morckhoviensis	4.892549726	78081.784	2.714413592	518.100	0.357224030	2.276	16	Marino et al. (2004)	Lambert (2005)	Kidwell (1997); Browning et al. (2006)	
indet.	Genus Y	n. sp., includes ChM PV2764	5.774316195	594725.000	3.091455913	1234.400	0.143482816	1.391	27	Marino et al. (2004)	Geisler et al. (2011)	Sanders and Barnes (2002); Weems and Harris (2008); Harris et al. (2008)	ChM PV2757 is equivalent to PV2764, which is included in Geisler et al. (2011)
indet.	n.gen	n. sp. (ChM_PV4961)	4.699994598	50118.100	2.628899564	425.500	0.400721937	2.516	27	Marino et al. (2004)	Geisler et al. (2011)	Sanders and Barnes (2002); Weems and Harris (2008); Harris et al. (2008)	ChM PV4961, included by Geisler et al. (2011)
Patriocetidae	n.gen	n. sp. (ChM_PV2761)	5.295540932	197488.100	2.933031495	857.100	0.305837825	2.022	27	Marino et al. (2004)	Geisler et al. (2011)	Sanders and Barnes (2002); Weems and Harris (2008); Harris et al. (2008)	ChM PV2761, included in Geisler et al. (2011)
Simocetidae	Simocetus	rayi	4.974363832	94267.900	2.724767246	530.600	0.312762233	2.055	32	Marino et al. (2004)	Geisler et al. (2011)	Prothero (2003)	
Xenorophidae	Xenorophus	n. sp., includes ChM PV4823	4.986096486	96849.300	2.935204867	861.400	0.515338975	3.276	30	Marino et al. (2004)	Geisler et al. (2011)	Weems and Harris (2008)	ChM PV4266 should be equivalent to PV4823 which is included by Geisler et al. (2011)
Physeteridae	Orycterocetus	crocodilinus	5.625898045	422569.400	3.355585600	2267.700	0.507052664	3.214	16	Manger (2006)	Geisler et al. (2011)	Kidwell (1997); Browning et al. (2006)	
Physeteridae	Aulophyseter	morricei	6.041392685	1100000.000	3.397940009	2500.000	0.271025664	1.866	16	Manger (2006)	Lambert et al. (2010)	Kidwell (1997); Browning et al. (2006)	
Squalodontidae	Squalodon	calvertensis	5.198037914	157774.900	2.790425917	617.200	0.228559269	1.693	19	Marino et al. (2004)	Geisler et al. (2011)	Kidwell (1997); Browning et al. (2006)	
indet.	Squaloziphius	emlongi	5.215382410	164203.500	2.849357982	706.900	0.275870521	1.887	22	Marino et al. (2004)	Geisler et al. (2011)	Kidwell (1997); Browning et al. (2006)	
	Choeropsis	liberiensis	5.439332694	275000.000	2.544068044	350.000	-0.179466107	0.662	0	Weston and Lister (2009)	Bininda-Emonds et al. (2007)	Extant	
	Hippopotamus 	amphibius	6.301247089	2001000.002	2.945468585	882.000	-0.355548211	0.441	0	Weston and Lister (2009)	Bininda-Emonds et al. (2007)	Extant	
