"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","abund_value","abund_unit","lng","lat","paleomodel","paleolng","paleolat","geoplate"
"780515","occ","","","83980","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Lutetian","","47.8","41.3","28136","1","specimens","-88.099998","31.756390","gp_mid","-68.28","35.43","109"
"780516","occ","","","83981","Georgiacetus vogtlensis","species","63123","","Georgiacetus vogtlensis","species","63123","Bartonian","","41.3","38","28136","1","specimens","-89.139725","32.338890","gp_mid","-71.73","36.19","101"
"781876","occ","","","84232","n. gen. Septemriocetus n. sp. bosselaersi","species","133842","obsolete variant of","Septemtriocetus bosselaersi","species","133842","Piacenzian","","3.6","2.588","28212","1","specimens","4.220833","51.275555","gp_mid","4.73","50.77","315"
"782527","occ","","","84332","Aetiocetus cotylalveus","species","63473","","Aetiocetus cotylalveus","species","63473","Rupelian","","33.9","28.1","28334","1","specimens","-124.053055","44.651669","gp_mid","-107.27","49.70","129"
"782899","occ","","","84373","Balaena mysticetus","species","64683","","Balaena mysticetus","species","64683","Holocene","","0.0117","0","28274","1","specimens","56.916668","74.733330","gp_mid","56.92","74.73","302"
"783903","occ","","","84454","Cetacea indet.","order","36652","","Cetacea","order","36652","Messinian","","7.246","5.333","28294","","","-70.787224","-27.000000","gp_mid","-69.41","-26.67","291"
"784836","occ","21216","","48029","Balaenopteridae indet.","family","42977","","Balaenopteridae","family","42977","Langhian","","15.97","13.82","18748","","","16.332222","48.218056","gp_mid","17.98","45.27","305"
"784840","occ","","","84610","Albireo whistleri","species","64532","","Albireo whistleri","species","64532","Messinian","","7.246","5.333","28389","1","specimens","-115.194168","28.077499","gp_mid","","",""
"784841","occ","","","84610","Physeterinae indet.","subfamily","62911","","Physeterinae","subfamily","62911","Messinian","","7.246","5.333","28389","1","specimens","-115.194168","28.077499","gp_mid","","",""
"784842","occ","","","45460","Albireo aff. whistleri","species","64532","","Albireo whistleri","species","64532","Messinian","","7.246","5.333","28389","1","specimens","-115.175552","28.114721","gp_mid","-112.62","29.22","105"
"784843","occ","","","45458","Albireo sp.","genus","36659","","Albireo","genus","36659","Messinian","","7.246","5.333","28389","1","specimens","-115.175552","28.114721","gp_mid","-112.62","29.22","105"
"784845","occ","","","13451","Albireo n. sp. savagei","species","135184","","Albireo savagei","species","135184","Piacenzian","","3.6","2.588","28389","","","-120.733299","35.166698","gp_mid","","",""
"785970","occ","","","18587","Physeter antiquus","species","63667","nomen dubium","Physeteridae","family","42967","Langhian","","15.97","13.82","28441","","","-75.199997","39.299999","gp_mid","-67.97","40.86","109"
"785971","occ","","","84754","Basilosaurus n. sp. kochii","species","63069","recombined as","Zygorhiza kochii","species","63069","Priabonian","","38","33.9","11978","","","-87.893059","31.728889","gp_mid","-72.63","35.34","109"
"785973","occ","","","83938","Zeuglodon n. sp. intermedius","species","62996","subjective synonym of","Dorudon atrox","species","62994","Priabonian","","38","33.9","11956","1","specimens","30.200001","29.270000","gp_mid","31.70","18.97","715"
"785974","occ","","","58456","n. gen. Protocetus n. sp. atavus","species","62989","","Protocetus atavus","species","62989","Lutetian","","47.8","41.3","11953","","","31.271999","30.360001","gp_mid","33.01","17.39","715"
"786073","occ","","","84788","Cetacea indet.","order","36652","","Cetacea","order","36652","Hemingfordian","","20.43","15.97","28442","","","-117.767120","33.635891","gp_mid","-109.50","36.64","105"
"786227","occ","","","54075","n. gen. Albertocetus n. sp. meffordorum","species","135854","","Albertocetus meffordorum","species","135854","Chattian","","28.1","23.03","28465","3","specimens","-77.268608","34.570278","gp_mid","-65.59","36.68","109"
"786229","occ","","","57734","Delphinus n. sp. bessarabicus","species","105169","nomen dubium","Odontoceti","suborder","42937","Sarmatian","","12.7","11.608","24969","","","28.857500","47.055557","gp_mid","29.61","44.57","302"
"786230","occ","","","57734","Cetotherium n. sp. pusillum","species","105170","invalid subgroup of","Chaeomysticeti","infraorder","53254","Sarmatian","","12.7","11.608","24969","","","28.857500","47.055557","gp_mid","29.61","44.57","302"
"786779","occ","","","20585","Cetacea indet.","order","36652","","Cetacea","order","36652","Late Pleistocene","","0.126","0.0117","2018","","","-118.199997","34.000000","gp_mid","-118.20","34.00","105"
"786782","occ","","","84882","Cetacea indet.","order","36652","","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018","","","-118.293892","33.791668","gp_mid","","",""
"786783","occ","","","84883","Cetacea indet.","order","36652","","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018","","","-118.198059","33.767223","gp_mid","","",""
"786784","occ","","","71072","Odontoceti indet.","suborder","42937","","Odontoceti","suborder","42937","Langhian","Serravallian","15.97","11.62","2018","","","-118.389168","33.778057","gp_mid","","",""
"786785","occ","","","84884","Cetacea indet.","order","36652","","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018","","","-118.327782","33.851944","gp_mid","-118.33","33.85","105"
"786786","occ","","","84885","Cetacea indet.","order","36652","","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018","","","-118.302223","33.777779","gp_mid","","",""
"786787","occ","","","84886","Cetacea indet.","order","36652","","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018","","","-118.385277","33.838055","gp_mid","","",""
