"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","abund_value","abund_unit","lng","lat","paleomodel","paleolng","paleolat","geoplate"
"68135","occ","","","4868","n. gen. Georgiacetus n. sp. vogtlensis","species","63123","","Georgiacetus vogtlensis","species","63123","Lutetian","","47.8","41.3","289","","","-81.760559","33.143333","gp_mid","-61.49","35.55","109"
"137494","occ","","","11601","Argyrocetus joaquinensis","species","69897","","Argyrocetus joaquinensis","species","69897","Aquitanian","","23.03","20.44","4175","1","specimens","-118.848335","35.492779","gp_mid","-107.46","39.67","130"
"141404","occ","","","12121","n. gen. Kharthlidelphis n. sp. diceros","species","53161","nomen dubium","Odontoceti","suborder","42937","Chattian","","28.1","23.03","6018","2","specimens","43.548332","42.532780","gp_mid","44.11","37.53","511"
"147937","occ","","","13063","n. gen. Pinocetus n. sp. polonicus","species","53140","","Pinocetus polonicus","species","53140","Langhian","","15.97","13.82","4344","","","20.526388","50.520279","gp_mid","22.03","47.50","305"
"147938","occ","","","13064","n. gen. Basiloterus n. sp. hussaini","species","53165","","Basiloterus hussaini","species","53165","Bartonian","","41.3","38","6010","","","70.440559","30.787779","gp_mid","72.15","11.74","501"
"148079","occ","","","13078","n. gen. Sachalinocetus n. sp. cholmicus","species","63225","","Sachalinocetus cholmicus","species","63225","Early Miocene","Middle Miocene","23.03","11.608","4357","","","142.050003","47.049999","gp_mid","138.33","47.14","610"
"148335","occ","","","13090","n. gen. Praekogia n. sp. cedrosensis","species","53139","","Praekogia cedrosensis","species","53139","Messinian","","7.246","5.333","4361","","","-115.183334","28.366667","gp_mid","","",""
"148353","occ","","","13092","Aulophyseter n. sp. rionegrensis","species","53106","","Aulophyseter rionegrensis","species","53106","Messinian","","7.246","5.333","4362","","","-64.933334","-40.733334","gp_mid","-63.84","-40.48","291"
"148356","occ","","","13096","Microcetus n. sp. sharkovi","species","53137","","Microcetus sharkovi","species","53137","Chattian","","28.1","23.03","4365","1","specimens","51.431946","43.819443","gp_mid","51.39","38.98","402"
"148358","occ","","","13098","n. gen. Mixocetus n. sp. elysius","species","64432","","Mixocetus elysius","species","64432","Tortonian","","11.62","7.246","10152","","","-118.199448","34.083611","gp_mid","-114.35","35.74","105"
"148360","occ","","","13100","n. gen. Austrosqualodon n. sp. trirhizodonta","species","63212","","Austrosqualodon trirhizodonta","species","63212","Duntroonian","","27.3","25.2","4368","","","172.751389","-40.512779","gp_mid","-175.48","-46.24","806"
"148363","occ","","","13102","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","38","33.9","6026","","","30.041580","29.281731","gp_mid","31.56","18.99","715"
"148364","occ","","","13102","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","38","33.9","6026","","","30.041580","29.281731","gp_mid","31.56","18.99","715"
"148365","occ","19615","","13103","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","38","33.9","10457","","","30.046310","29.296270","gp_mid","31.56","19.00","715"
"150826","occ","","","11596","Basilosaurus n. sp. drazindai","species","53163","","Basilosaurus drazindai","species","53163","Bartonian","","41.3","38","6010","","","70.427780","30.782778","gp_mid","72.14","11.74","501"
"150827","occ","","","13103","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","38","33.9","6026","","","30.046310","29.296270","gp_mid","31.56","19.00","715"
"150828","occ","","","13402","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","38","33.9","6026","","","30.056330","29.305510","gp_mid","31.57","19.01","715"
"150829","occ","","","13402","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","38","33.9","6026","","","30.056330","29.305510","gp_mid","31.57","19.01","715"
"150830","occ","","","13403","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","38","33.9","6026","","","30.036060","29.259060","gp_mid","31.55","18.96","715"
"150831","occ","","","13403","Dorudon atrox","species","53288","","Dorudon atrox","species","62994","Priabonian","","38","33.9","6026","","","30.036060","29.259060","gp_mid","31.55","18.96","715"
"150833","occ","","","13405","n. gen. Dorudon n. sp. serratus","species","53155","","Dorudon serratus","species","53155","Priabonian","","38","33.9","6032","","","-80.127777","33.454445","gp_mid","-64.33","35.83","109"
"150835","occ","26388","","13406","Basilosaurus ? drazindai","species","53163","","Basilosaurus drazindai","species","53163","Bartonian","","41.3","38","6010","","","-1.690278","50.737778","gp_mid","4.50","44.23","315"
"150836","occ","","","13408","Thinocetus arthritus","species","53147","","Thinocetus arthritus","species","53147","Serravallian","","13.82","11.62","6034","1","specimens","-76.471107","38.463890","gp_mid","-70.39","39.98","109"
"150841","occ","","","13407","n. gen. Thinocetus n. sp. arthritus","species","53147","","Thinocetus arthritus","species","53147","Serravallian","","13.82","11.62","6034","","","-76.766670","38.162224","gp_mid","-70.72","39.70","109"
"150846","occ","","","13408","n. gen. Halicetus n. sp. ignotus","species","53149","","Halicetus ignotus","species","53149","Serravallian","","13.82","11.62","6034","","","-76.471107","38.463890","gp_mid","-70.39","39.98","109"
"150873","occ","18384","","13449","Cetacea indet.","order","36652","","Cetacea","order","36652","Miocene","","23.03","5.333","12845","","","79.816666","8.283333","gp_mid","78.50","0.33","502"
"151444","occ","","","13488","Balaenoptera n. sp. taiwanica","species","69157","","Balaenoptera taiwanica","species","69157","Zanclean","","5.333","3.6","6103","","","120.995834","24.575001","gp_mid","120.67","24.52","611"
"151803","occ","","","13521","Cetacea ? indet.","order","36652","","Cetacea","order","36652","Middle Eocene","Late Eocene","48.6","33.9","6123","","","68.727776","23.505556","gp_mid","68.49","4.71","501"
"187702","occ","","","18512","cf. Pomatodelphis sp.","genus","36819","","Pomatodelphis","genus","36819","Late Hemingfordian","","20.43","15.97","2614","","","-82.099998","29.900000","gp_mid","-74.72","32.29","109"
"188107","occ","","","18580","Parietobalaena palmeri","species","62938","","Parietobalaena palmeri","species","62938","Langhian","","15.97","13.82","55050","1","specimens","-76.990013","38.397839","gp_mid","-69.91","40.10","109"
"217636","occ","","","22221","Cetacea indet.","order","36652","","Cetacea","order","36652","Zanclean","","5.333","3.6","5391","","","18.150000","-32.976002","gp_mid","17.74","-34.01","701"
"220169","occ","","","22712","Physeterula sp.","genus","36808","","Physeterula","genus","36808","Piacenzian","","3.6","2.588","5666","","","-82.514702","27.336000","gp_mid","-81.41","27.83","109"
"220170","occ","","","22712","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Piacenzian","","3.6","2.588","5666","","","-82.514702","27.336000","gp_mid","-81.41","27.83","109"
"220173","occ","","","22712","Balaenidae indet.","family","42978","","Balaenidae","family","42978","Piacenzian","","3.6","2.588","5666","","","-82.514702","27.336000","gp_mid","-81.41","27.83","109"
"220174","occ","","","22712","Megaptera sp.","genus","36760","","Megaptera","genus","36760","Piacenzian","","3.6","2.588","5666","","","-82.514702","27.336000","gp_mid","-81.41","27.83","109"
"220183","occ","","","22712","Balaenoptera floridana","species","68451","invalid subgroup of","Mysticeti","suborder","42971","Piacenzian","","3.6","2.588","5666","","","-82.514702","27.336000","gp_mid","-81.41","27.83","109"
"220758","occ","","","21917","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Holocene","","0.0117","0","5234","2","individuals","24.400000","-34.099998","gp_mid","24.40","-34.10","701"
"220776","occ","","","21918","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Holocene","","0.0117","0","5234","2","individuals","24.400000","-34.099998","gp_mid","24.40","-34.10","701"
"225773","occ","","","21922","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Holocene","","0.0117","0","5236","9","specimens","18.833300","-33.383301","gp_mid","18.83","-33.38","701"
"225890","occ","","","21929","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Pleistocene","","2.588","0.0117","5238","9","specimens","17.950001","-33.023102","gp_mid","17.85","-33.28","701"
"226041","occ","","","21952","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Pleistocene","Holocene","2.588","0","5251","36","specimens","19.376802","-34.546085","gp_mid","19.27","-34.81","701"
"289579","occ","","","18549","Squalodon ? sp.","genus","36852","","Squalodon","genus","36852","Early Barstovian","","15.97","13.6","1145","","","-84.500000","30.500000","gp_mid","-78.43","32.76","109"
"297913","occ","","","28617","Neosqualodon assenzae","species","63423","","Neosqualodon assenzae","species","63423","Langhian","","15.97","13.82","24745","","","14.600000","36.916668","gp_mid","","",""
"297914","occ","","","28617","Neosqualodon n. sp. gemmelllaroi","species","53167","nomen dubium","Neosqualodon gastaldii","species","68324","Langhian","","15.97","13.82","28755","","","14.600000","36.916668","gp_mid","","",""
"297915","occ","","","28617","Squalodon cf. bariensis","species","53157","","Squalodon bariensis","species","63727","Langhian","","15.97","13.82","7898","","","14.600000","36.916668","gp_mid","","",""
"297916","occ","","","28617","Squalodon n. sp. dalpiazi","species","53166","","Squalodon dalpiazi","species","53166","Langhian","","15.97","13.82","7898","","","14.600000","36.916668","gp_mid","","",""
"300637","occ","","","28938","Andrewsiphius sloani","species","63152","","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","7933","2","specimens","70.220558","30.887777","gp_mid","71.99","9.31","501"
"300638","occ","","","28938","Remingtonocetus domandaensis","species","53239","","Remingtonocetus domandaensis","species","53239","Lutetian","","47.8","41.3","7933","4","specimens","70.220558","30.887777","gp_mid","71.99","9.31","501"
"300639","occ","","","28938","Dalanistes ahmedi","species","53241","","Dalanistes ahmedi","species","53241","Lutetian","","47.8","41.3","7933","1","specimens","70.220558","30.887777","gp_mid","71.99","9.31","501"
"300803","occ","","","28972","n. gen. Takracetus n. sp. simus","species","53298","","Takracetus simus","species","53298","Lutetian","","47.8","41.3","7939","2","specimens","70.363892","30.143888","gp_mid","71.88","8.57","501"
"300804","occ","","","28973","Rodhocetus kasrani","species","53296","corrected to","Rodhocetus kasranii","species","53296","Lutetian","","47.8","41.3","7939","1","specimens","70.133331","30.000000","gp_mid","71.65","8.49","501"
"300805","occ","","","28974","n. gen. Gaviacetus n. sp. razai","species","53299","","Gaviacetus razai","species","53299","Lutetian","","47.8","41.3","7939","1","specimens","70.365280","30.125834","gp_mid","71.88","8.55","501"
"300806","occ","","","28974","n. gen. Dalanistes n. sp. ahmedi","species","53241","","Dalanistes ahmedi","species","53241","Lutetian","","47.8","41.3","7939","4","specimens","70.365280","30.125834","gp_mid","71.88","8.55","501"
"300807","occ","","","28975","n. gen. Rodhocetus n. sp. kasrani","species","53296","corrected to","Rodhocetus kasranii","species","53296","Lutetian","","47.8","41.3","8323","1","specimens","70.443611","30.768333","gp_mid","72.14","9.14","501"
"300808","occ","","","28976","Indocetus ramani","species","53308","","Indocetus ramani","species","53308","Lutetian","","47.8","41.3","8324","2","specimens","70.133331","30.016666","gp_mid","71.65","8.50","501"
"300809","occ","","","28977","n. gen. Ancalecetus n. sp. simonsi","species","53295","","Ancalecetus simonsi","species","53295","Priabonian","","38","33.9","8325","1","specimens","30.023001","29.274000","gp_mid","31.54","18.98","715"
"300810","occ","","","28978","n. gen. Pakicetus n. sp. inachus","species","53310","","Pakicetus inachus","species","53310","Lutetian","","47.8","41.3","8326","8","specimens","71.922218","33.622223","gp_mid","74.19","11.51","501"
"300812","occ","","","28980","Babiacetus indicus","species","53314","","Babiacetus indicus","species","53314","Bartonian","","41.3","38","8327","1","specimens","70.470833","30.763889","gp_mid","72.17","11.71","501"
"300813","occ","","","28981","n. gen. Artiocetus n. sp. clavis","species","53317","","Artiocetus clavis","species","53317","Lutetian","","47.8","41.3","8328","1","specimens","69.794167","30.088888","gp_mid","71.39","8.66","501"
"300814","occ","","","28981","Rodhocetus n. sp. balochistanensis","species","53318","","Rodhocetus balochistanensis","species","53318","Lutetian","","47.8","41.3","8328","1","specimens","69.794167","30.088888","gp_mid","71.39","8.66","501"
"300826","occ","21194","","28983","n. gen. Alabamornis n. sp. gigantea","species","63086","subjective synonym of","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","11980","4","specimens","-88.458885","31.930279","gp_mid","-73.17","35.62","101"
"300827","occ","","","28983","Zygorhiza kochii","species","53292","","Zygorhiza kochii","species","63069","Priabonian","","38","33.9","8335","9","specimens","-88.458885","31.930279","gp_mid","-73.17","35.62","101"
"339347","occ","","","32052","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Late Pliocene","","3.6","2.588","5595","12","specimens","-7.650000","33.583332","gp_mid","-7.16","33.08","707"
"339350","occ","","","32052","Kogia sp.","genus","36744","","Kogia","genus","36744","Late Pliocene","","3.6","2.588","5595","1","specimens","-7.650000","33.583332","gp_mid","-7.16","33.08","707"
"348021","occ","","","32899","Basilosaurus isis","species","53287","","Basilosaurus isis","species","62984","Priabonian","","38","33.9","8811","1","specimens","37.118332","31.574444","gp_mid","37.22","19.18","503"
"348022","occ","","","32900","Zygorhiza ? sp.","genus","36872","","Zygorhiza","genus","36872","Bortonian","","43","37.2","8812","4","specimens","170.934723","-44.785000","gp_mid","-159.88","-46.33","807"
"348023","occ","15644","","32901","Georgiacetus cf. vogtlensis","species","63123","","Georgiacetus vogtlensis","species","63123","Lutetian","","47.8","41.3","289","3","specimens","-79.670555","33.328609","gp_mid","-59.35","35.32","109"
"348025","occ","","","32902","Basilosaurus cf. cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","36758","","","-89.869164","35.620277","gp_mid","-73.78","39.46","101"
"348026","occ","","","32903","n. gen. Natchitochia n. sp. jonesi","species","53998","","Natchitochia jonesi","species","53998","Bartonian","","41.3","38","8815","1","specimens","-93.066666","31.686111","gp_mid","-75.94","36.20","101"
"348028","occ","","","32905","Pappocetus lugardi","species","53999","","Pappocetus lugardi","species","53999","Bartonian","","41.3","38","8817","4","specimens","7.515200","5.555100","gp_mid","7.66","-3.49","701"
"348029","occ","","","32906","n. gen. Pappocetus n. sp. lugardi","species","53999","","Pappocetus lugardi","species","53999","Bartonian","","41.3","38","8818","1","specimens","7.000000","6.000000","gp_mid","7.21","-2.98","701"
"348030","occ","","","32907","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","8819","","","-91.833336","31.799999","gp_mid","-76.68","36.00","101"
"348031","occ","26299","","32908","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","38","33.9","39153","","","-80.448059","33.214443","gp_mid","-64.71","35.64","109"
"348032","occ","27385","","32908","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","38","33.9","42488","","","-80.448059","33.214443","gp_mid","-64.71","35.64","109"
"348038","occ","","","32915","Zeuglodon n. sp. wanklyni","species","54015","invalid subgroup of","Basilosauridae","family","42936","Bartonian","","41.3","38","8824","1","specimens","-0.416667","51.950001","gp_mid","5.76","45.37","315"
"348039","occ","27384","","32916","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","38","33.9","42488","1","specimens","-82.092499","29.162222","gp_mid","-67.27","31.92","109"
"348040","occ","","","32917","Archaeoceti indet.","suborder","42933","","Archaeoceti","suborder","42933","Priabonian","","38","33.9","8825","1","specimens","-83.175003","30.052778","gp_mid","-68.18","32.96","109"
"348041","occ","17986","","32918","Cynthiacetus maxwelli","species","63144","","Cynthiacetus maxwelli","species","63144","Priabonian","","38","33.9","12000","1","specimens","-82.573608","29.690277","gp_mid","-67.65","32.51","109"
"348042","occ","","","32919","Archaeoceti indet.","suborder","42933","","Archaeoceti","suborder","42933","Priabonian","","38","33.9","8825","1","specimens","-82.330559","29.651388","gp_mid","-67.41","32.44","109"
"348043","occ","","","32920","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","38","33.9","8825","1","specimens","-82.499168","29.901943","gp_mid","-67.53","32.71","109"
"348044","occ","27547","","32921","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Bartonian","","41.3","38","43076","1","specimens","-95.909164","31.132500","gp_mid","-79.02","36.12","101"
"348048","occ","","","32925","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","12024","1","specimens","-92.901665","31.656668","gp_mid","-77.81","36.01","101"
"348049","occ","","","32926","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","8335","1","specimens","-88.496635","31.789696","gp_mid","-73.24","35.49","109"
"348397","occ","","","32990","Dorudontinae indet.","subfamily","53109","invalid subgroup of","Basilosauridae","family","42936","Priabonian","","38","33.9","8837","1","specimens","-16.066700","14.150000","gp_mid","-14.03","9.39","714"
"348399","occ","29573","","32991","Protocetidae indet.","family","42934","","Protocetidae","family","42934","Lutetian","","47.8","41.3","49848","4","specimens","1.334000","6.309000","gp_mid","1.63","-2.87","714"
"348400","occ","15677","","32992","Dorudontinae indet.","subfamily","53109","invalid subgroup of","Basilosauridae","family","42936","Priabonian","","38","33.9","12845","10","specimens","10.066700","44.283298","gp_mid","15.24","36.20","307"
"348401","occ","","","32993","Archaeoceti indet.","suborder","42933","","Archaeoceti","suborder","42933","Priabonian","","38","33.9","8841","1","specimens","2.283300","41.866699","gp_mid","7.04","36.50","304"
"348402","occ","","","32994","Archaeoceti indet.","suborder","42933","","Archaeoceti","suborder","42933","Priabonian","","38","33.9","6036","5","specimens","10.533300","52.266701","gp_mid","14.84","45.95","315"
"364216","occ","","","34521","Mesocetus n. sp. argillarius","species","69084","recombined as","Tranatocetus argillarius","species","69084","Tortonian","","11.62","7.246","9111","1","individuals","9.059167","55.307220","gp_mid","10.56","53.68","302"
"371205","occ","","","35125","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Messinian","","7.246","5.333","9455","1","specimens","22.016666","46.283333","gp_mid","22.84","44.67","308"
"384481","occ","","","12120","n. gen. Kampholophos n. sp. serrulus","species","53143","","Kampholophos serrulus","species","53143","Serravallian","","13.82","11.62","4176","1","specimens","-121.819725","37.503887","gp_mid","-115.57","40.29","130"
"384535","occ","","","28986","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","8335","1","specimens","-87.127502","31.060556","gp_mid","-71.99","34.56","109"
"389852","occ","","","37347","Hadrodelphis calvertense","species","64434","","Hadrodelphis calvertense","species","64434","Langhian","","15.97","13.82","10018","1","individuals","-77.162498","38.599998","gp_mid","-70.06","40.31","109"
"389853","occ","","","37348","n. gen. Macrokentriodon n. sp. morani","species","63627","","Macrokentriodon morani","species","63627","Serravallian","","13.82","11.62","10019","1","individuals","-76.432503","38.429169","gp_mid","-70.35","39.94","109"
"391699","occ","","","37598","Phoca n. sp. ambigua","species","63215","recombined as","Microcetus ambiguus","species","63215","Chattian","","28.1","23.03","36697","","","8.566667","52.200001","gp_mid","12.27","47.54","315"
"391724","occ","21700","","37599","Squalodon sp.","genus","36852","","Squalodon","genus","36852","Miocene","","23.03","5.333","29775","","","5.766667","50.950001","gp_mid","7.98","48.43","315"
"391973","occ","31076","","37602","Chaeomysticeti indet.","infraorder","53254","","Chaeomysticeti","infraorder","53254","Chattian","","28.1","23.03","55050","","","170.616669","-44.916668","gp_mid","-169.24","-46.75","807"
"395326","occ","","","13079","Cetotheriidae indet.","family","42973","","Cetotheriidae","family","66751","Messinian","","7.246","5.333","12182","","","-74.719719","-15.580833","gp_mid","-73.17","-15.20","201"
"400874","occ","29218","","28975","Remingtonocetus domandaensis","species","53239","","Remingtonocetus domandaensis","species","53239","Lutetian","","47.8","41.3","7933","2","specimens","70.443611","30.768333","gp_mid","72.14","9.14","501"
"400875","occ","","","7299","Eocetus n. sp. wardii","species","63151","recombined as","Basilotritus wardii","species","63151","Bartonian","","41.3","38","8810","1","individuals","-78.083336","34.166668","gp_mid","-60.07","36.07","109"
"405530","occ","","","38954","Cetacea indet.","order","36652","","Cetacea","order","36652","Middle Pleistocene","","0.781","0.126","10537","","","1.165000","51.938999","gp_mid","1.17","51.94","315"
"405867","occ","12295","","39014","Dorudontinae indet.","subfamily","53109","invalid subgroup of","Basilosauridae","family","42936","Bartonian","","41.3","38","10457","","","-2.120000","50.651001","gp_mid","4.11","44.17","315"
"405868","occ","","","39014","Basilosaurus sp.","genus","36681","","Basilosaurus","genus","36681","Bartonian","","41.3","38","10553","","","-2.120000","50.651001","gp_mid","4.11","44.17","315"
"418955","occ","","","40693","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Early Pleistocene","","2.588","0.781","10958","","","53.426945","39.459999","gp_mid","53.40","39.05","402"
"440389","occ","","","43029","Protocetus n. sp. sloani","species","63120","recombined as","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11408","","","68.719444","23.572222","gp_mid","68.52","2.72","501"
"440390","occ","","","43029","Cetacea indet.","order","36652","","Cetacea","order","36652","Lutetian","","47.8","41.3","11408","","","68.719444","23.572222","gp_mid","68.52","2.72","501"
"440643","occ","","","43063","aff. Prosqualodon australis","species","58388","","Prosqualodon australis","species","58388","Early Miocene","","23.03","15.97","11413","","","-70.050003","10.366667","gp_mid","-63.81","10.94","203"
"460810","occ","","","45450","n. gen. Waipatia n. sp. maerewhenua","species","62904","","Waipatia maerewhenua","species","62904","Duntroonian","","27.3","25.2","11876","1","specimens","170.620834","-44.858334","gp_mid","-169.24","-46.69","807"
"460965","occ","","","45452","Pomatodelphis inaequalis","species","62907","","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613","","","-81.980003","27.753000","gp_mid","-76.97","29.64","109"
"460966","occ","","","45453","Pomatodelphis inaequalis","species","62907","","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613","","","-81.973999","27.895000","gp_mid","-76.95","29.78","109"
"460967","occ","15670","","45454","Pomatodelphis inaequalis","species","62907","","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613","","","-81.843330","27.834999","gp_mid","-76.82","29.72","109"
"460968","occ","","","45455","Pomatodelphis n. sp. inaequalis","species","62907","","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613","","","-81.824997","27.818001","gp_mid","-76.81","29.70","109"
"460969","occ","","","45456","Pomatodelphis inaequalis","species","62907","","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613","","","-81.864166","27.842501","gp_mid","-76.84","29.72","109"
"460970","occ","","","45456","Delphinodon cf. mento","species","64690","invalid subgroup of","Odontoceti","suborder","42937","Serravallian","","13.82","11.62","2613","","","-81.864166","27.842501","gp_mid","-76.84","29.72","109"
"460971","occ","","","45457","Pomatodelphis bobengi","species","62908","","Pomatodelphis bobengi","species","62924","Serravallian","","13.82","11.62","2613","","","-81.973999","27.895000","gp_mid","-76.95","29.78","109"
"460972","occ","","","45458","n. gen. Parapontoporia n. sp. pacifica","species","62910","","Parapontoporia pacifica","species","62910","Messinian","","7.246","5.333","11878","1","specimens","-115.175552","28.114721","gp_mid","-112.62","29.22","105"
"460973","occ","","","45458","Piscolithax n. sp. tedfordi","species","90875","","Piscolithax tedfordi","species","90875","Messinian","","7.246","5.333","11878","1","specimens","-115.175552","28.114721","gp_mid","-112.62","29.22","105"
"460974","occ","","","45458","Piscolithax n. sp. boreios","species","90874","","Piscolithax boreios","species","90874","Messinian","","7.246","5.333","11878","1","specimens","-115.175552","28.114721","gp_mid","-112.62","29.22","105"
"460975","occ","","","45458","n. gen. Denebola n. sp. brachycephala","species","64565","","Denebola brachycephala","species","64565","Messinian","","7.246","5.333","11878","1","specimens","-115.175552","28.114721","gp_mid","-112.62","29.22","105"
"460976","occ","","","45459","Pomatodelphis bobengi","species","62908","","Pomatodelphis bobengi","species","62924","Serravallian","","13.82","11.62","2613","","","-81.968330","27.949167","gp_mid","-76.94","29.84","109"
"460977","occ","","","45460","Praekogia cedrosensis","species","53139","","Praekogia cedrosensis","species","53139","Messinian","","7.246","5.333","11878","1","specimens","-115.175552","28.114721","gp_mid","-112.62","29.22","105"
"460978","occ","","","45460","Physeterinae indet.","subfamily","62911","","Physeterinae","subfamily","62911","Messinian","","7.246","5.333","11878","1","specimens","-115.175552","28.114721","gp_mid","-112.62","29.22","105"
"460979","occ","","","45460","n. gen. Albireo n. sp. whistleri","species","64532","","Albireo whistleri","species","64532","Messinian","","7.246","5.333","11878","1","specimens","-115.175552","28.114721","gp_mid","-112.62","29.22","105"
"460980","occ","","","18579","Squalodon calvertensis","species","68288","","Squalodon calvertensis","species","68288","Early Hemingfordian","","20.43","15.97","11874","8","specimens","-75.599998","39.200001","gp_mid","-66.85","40.97","109"
"460981","occ","","","18579","Phocageneus venustus","species","62956","","Phocageneus venustus","species","62956","Early Hemingfordian","","20.43","15.97","11874","3","specimens","-75.599998","39.200001","gp_mid","-66.85","40.97","109"
"460982","occ","","","18579","Zarhachis flagellator","species","63658","","Zarhachis flagellator","species","63658","Early Hemingfordian","","20.43","15.97","11874","4","specimens","-75.599998","39.200001","gp_mid","-66.85","40.97","109"
"460983","occ","15655","","18579","Schizodelphis sulcatus","species","63690","","Schizodelphis sulcatus","species","63687","Early Hemingfordian","","20.43","15.97","12196","1","specimens","-75.599998","39.200001","gp_mid","-66.85","40.97","109"
"460984","occ","","","18579","Kentriodontidae indet.","family","42938","","Kentriodontidae","family","42938","Early Hemingfordian","","20.43","15.97","11874","2","specimens","-75.599998","39.200001","gp_mid","-66.85","40.97","109"
"460985","occ","","","18579","Physeteridae indet.","family","42967","","Physeteridae","family","42967","Early Hemingfordian","","20.43","15.97","11874","3","specimens","-75.599998","39.200001","gp_mid","-66.85","40.97","109"
"460988","occ","","","45461","Pomatodelphis bobengi","species","62908","","Pomatodelphis bobengi","species","62924","Early Clarendonian","","13.6","10.3","2613","","","-81.912498","27.811111","gp_mid","-77.32","29.59","109"
"460989","occ","","","45461","Odontoceti indet.","suborder","42937","","Odontoceti","suborder","42937","Early Clarendonian","","13.6","10.3","2613","","","-81.912498","27.811111","gp_mid","-77.32","29.59","109"
"460990","occ","","","13079","n. gen. Ninoziphius n. sp. platyrostris","species","62912","","Ninoziphius platyrostris","species","62912","Messinian","","7.246","5.333","11880","","","-74.719719","-15.580833","gp_mid","-73.17","-15.20","201"
"460991","occ","","","18536","Ziphiidae indet.","family","42951","","Ziphiidae","family","42951","Early Clarendonian","","13.6","10.3","2613","","","-81.800003","27.900000","gp_mid","-77.20","29.67","109"
"460992","occ","","","45462","Pithanodelphis n. sp. nasalis","species","64570","recombined as","Atocetus nasalis","species","64570","Tortonian","","11.62","7.246","11879","1","specimens","-117.653893","33.627220","gp_mid","-113.79","35.28","105"
"460993","occ","","","18573","Pontoporiidae indet.","family","42965","","Pontoporiidae","family","42965","Late Hemphillian","","10.3","4.9","2613","","","-81.949997","27.683332","gp_mid","-78.95","28.93","109"
"460994","occ","","","18573","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Late Hemphillian","","10.3","4.9","2613","","","-81.949997","27.683332","gp_mid","-78.95","28.93","109"
"460995","occ","","","18573","Delphinodon cf. mento","species","64690","invalid subgroup of","Odontoceti","suborder","42937","Late Hemphillian","","10.3","4.9","2613","","","-81.949997","27.683332","gp_mid","-78.95","28.93","109"
"460996","occ","","","45463","Pithanodelphis nasalis","species","64570","recombined as","Atocetus nasalis","species","64570","Late Miocene","","11.608","5.333","11879","1","specimens","-118.396385","34.148609","gp_mid","-114.99","35.63","105"
"461047","occ","","","45469","n. gen. Goniodelphis n. sp. hudsoni","species","62925","","Goniodelphis hudsoni","species","62925","Serravallian","","13.82","11.62","11894","","","-81.971390","27.834999","gp_mid","-76.95","29.72","109"
"461048","occ","13827","","45469","Scaldicetus sp.","genus","36900","","Scaldicetus","genus","36900","Serravallian","","13.82","11.62","2613","","","-81.971390","27.834999","gp_mid","-76.95","29.72","109"
