"Balaenoptera borealis",0.0117,0
"Balaenoptera borealis",0.126,0.0117
"Balaenoptera borealis",15.97,11.608
"Balaenoptera borealis",2.588,0.781
"Balaenoptera borealis",3.6,2.588
"Cephalorhynchus commersoni",0.0117,0
"Cephalorhynchus eutropia",0.0117,0
"Cephalorhynchus heavisidii",0.0117,0
"Crenatocetus rayi",48.6,37.2
"Dalanistes ahmedi",47.8,41.3
"Delphinus delphis",0.0117,0
"Delphinus delphis",0.126,0.0117
"Delphinus delphis",2.588,0.781
"Delphinus delphis",2.588,1.806
"Delphinus delphis",3.6,3
"Delphinus delphis",5.333,2.588
"Delphinus domeykoi",15.97,2.588
"Delphinus domeykoi",5.333,3.6
"Delphinus rikuzenensis",5.333,3.6
"Eurhinodelphis longirostris",11.608,2.588
"Eurhinodelphis longirostris",11.608,5.333
"Eurhinodelphis longirostris",11.62,7.246
"Eurhinodelphis longirostris",13.82,11.62
"Eurhinodelphis longirostris",15.97,11.62
"Eurhinodelphis longirostris",15.97,13.82
"Eurhinodelphis longirostris",20.44,5.333
"Eurhinodelphis longirostris",23.03,5.333
"Inia araguaiaensis",0.0117,0
"Inia geoffrensis",0.0117,0
"Kentriodon diusinus",15.97,13.82
"Kentriodon fuchsii",11.608,5.333
"Kentriodon fuchsii",12.7,11.608
"Kentriodon fuchsii",12.75,11.1
"Kentriodon fuchsii",13.82,11.62
"Kentriodon fuchsii",15.97,13.82
"Kentriodon hobetsu",15.97,11.608
"Kentriodon hoepfneri",13.82,11.62
"Kentriodon obscurus",15.97,13.82
"Kentriodon pernix",15.97,13.82
"Kentriodon pernix",19,15.9
"Kentriodon pernix",20.44,15.97
"Kentriodon pernix",23.03,20.44
"Kentriodon schneideri",13.82,11.62
"Kogia breviceps",0.0117,0
"Kogia breviceps",3.6,2.588
"Kogia breviceps",5.333,3.6
"Kogia pusilla",3.6,2.588
"Kogia sima",0.0117,0
"Kogia sima",3.6,2.588
"Lagenorhynchus albirostris",0.0117,0
"Lagenorhynchus harmatuki",5.333,3.6
"Lagenorhynchus obliquidens",0.0117,0
"Lipotes vexillifer",0.0117,0
"Lissodelphis borealis",0.0117,0
"Lissodelphis peronii",0.0117,0
"Lophocetus calvertensis",11.62,7.246
"Mesocetus longirostris",13.82,11.62
"Mesocetus longirostris",20.44,11.62
"Mesoplodon longirostris",11.608,2.588
"Mesoplodon longirostris",15.97,11.608
"Mesoplodon longirostris",23.03,2.588
"Mesoplodon longirostris",2.588,1.806
"Mesoplodon longirostris",3.6,2.588
"Mesoplodon longirostris",5.333,2.588
"Mesoplodon longirostris",5.333,3.2
"Mesoplodon longirostris",5.333,3.6
"Messapicetus longirostris",11.62,7.246
"Messapicetus longirostris",20.44,5.333
"Pelocetus calvertensis",15.97,13.82
"Peripolocetus vexillifer",15.97,13.82
"Phocoena dioptrica",0.0117,0
"Phocoena phocoena",0.0117,0
"Phocoena phocoena",0.126,0.0117
"Phocoena phocoena",5.333,2.588
"Phocoena phocoena",5.333,3.6
"Phocoena sinus",0.0117,0
"Phocoena spinipinnis",0.0117,0
"Phocoenoides dalli",0.0117,0
"Piscolithax longirostris",7.246,5.333
"Platanista gangetica",0.0117,0
"Saghacetus osiris",37.2,33.9
"Saghacetus osiris",38,33.9
"Schizodelphis barnesi",15.97,13.82
"Schizodelphis barnesi",20.44,15.97
"Schizodelphis compressus",11.608,5.333
"Schizodelphis morckhoviensis",13.65,12.7
"Schizodelphis morckhoviensis",15.97,11.62
"Schizodelphis planus",20.44,15.97
"Schizodelphis squalodontoides",20.44,15.97
"Schizodelphis sulcatus",13.65,11.1
"Schizodelphis sulcatus",13.82,11.62
"Schizodelphis sulcatus",15.97,11.608
"Schizodelphis sulcatus",15.97,13.82
"Schizodelphis sulcatus",15.97,7.246
"Schizodelphis sulcatus",16.9,15.97
"Schizodelphis sulcatus",20.43,15.97
"Schizodelphis sulcatus",20.44,15.97
"Schizodelphis sulcatus",23.03,15.97
"Schizodelphis sulcatus",23.03,20.44
"Schizodelphis sulcatus",23.03,2.588
"Schizodelphis sulcatus",28.1,15.97
"Simocetus rayi",33.9,28.1
"Sotalia fluviatilis",0.0117,0
"Squalodon antverpiensis",15.97,11.62
"Squalodon antverpiensis",20.44,5.333
"Squalodon antverpiensis",23.03,5.333
"Squalodon atlanticus",15.97,0.0117
"Squalodon atlanticus",15.97,13.82
"Squalodon barbarus",28.1,23.03
"Squalodon bariensis",15.97,11.608
"Squalodon bariensis",15.97,13.82
"Squalodon bariensis",20.44,15.97
"Squalodon bariensis",23.03,20.44
"Squalodon bellunensis",13.82,11.62
"Squalodon bellunensis",20.44,15.97
"Squalodon bellunensis",23.03,15.97
"Squalodon bellunensis",23.03,20.44
"Squalodon bellunensis",28.1,23.03
"Squalodon bordae",20.44,15.97
"Squalodon calvertensis",13.82,11.62
"Squalodon calvertensis",15.97,13.82
"Squalodon calvertensis",20.43,15.97
"Squalodon calvertensis",20.44,15.97
"Squalodon calvertensis",23.03,20.44
"Squalodon catulli",23.03,20.44
"Squalodon dalpiazi",15.97,13.82
"Squalodon dalpiazi",20.44,15.97
"Squalodon grateloupii",20.44,15.97
"Squalodon grateloupii",23.03,5.333
"Squalodon grateloupii",28.1,23.03
"Squalodon hypsispondylus",28.1,23.03
"Squalodon imperator",13.82,11.62
"Squalodon linzianus",28.1,23.03
"Squalodon melitensis",20.44,5.333
"Squalodon melitensis",28.1,13.82
"Squalodon meyeri",20.44,15.97
"Squalodon molassicus",20.44,15.97
"Squalodon peregrinus",23.03,20.44
"Squalodon protervus",11.608,5.333
"Squalodon protervus",15.97,13.82
"Squalodon servatus",20.44,15.97
"Squalodon tiedemani",13.82,11.62
"Squalodon tiedemani",23.03,15.97
"Squalodon vocontiorum",20.44,15.97
"Squalodon whitmorei",13.82,11.62
"Squalodon whitmorei",20.44,15.97
"Squaloziphius emlongi",23.03,20.44
"Stenella attenuata",0.0117,0
"Stenella coeruleoalba",0.0117,0
"Stenella frontalis",0.0117,0
"Stenella longirostris",0.0117,0
"Stenella rayi",5.333,3.6
"Xiphiacetus bossi",15.97,11.62
"Xiphiacetus bossi",15.97,13.82
"Xiphiacetus bossi",20.44,13.82
"Xiphiacetus bossi",20.44,15.97
"Xiphiacetus cristatus",11.608,2.588
"Xiphiacetus cristatus",13.82,11.62
"Xiphiacetus cristatus",15.97,11.62
"Xiphiacetus cristatus",15.97,13.82
"Xiphiacetus cristatus",20.44,11.62
"Xiphiacetus cristatus",20.44,5.333
"Xiphiacetus cristatus",23.03,5.333
"Zygorhiza kochii",38,33.9
