Idiorophus,bolzanensis
Plesiocetus,dyticus
Morenocetus,parvus
Plesiocetopsis,notopelagicus
Kogia,sima
Kogia,breviceps
Argyrocetus,bakersfieldensis
Delphinavus,newhalli
Herpetocetus,sendaicus
Delphinus,rikuzenensis
Scaldicetus,caretti
Mesoplodon,longirostris
Belemnoziphius,compressus
Imerodelphis,thabagarii
Kentriodon,fuchsii
Imerocetus,karaganicus
Eoplatanista,italica
Schizodelphis,sulcatus
Dalpiazina,ombonii
Protodelphinus,capellinii
Idiorophus,bolzanensis
Ziphiodelphis,abeli
Ziphirostrum,turninense
Ziphirostrum,marginatum
Ziphirostrum,marginatum
Ziphirostrum,marginatum
Aporotus,recurvirostris
Aporotus,recurvirostris
Aporotus,dicyrtus
Mesoplodon,longirostris
Ziphirostrum,recurvus
Eurhinodelphis,longirostris
Eurhinodelphis,longirostris
Phocaenopsis,scheynensis
Pithanodelphis,cornutus
Scaldicetus,grandis
Scaldicetus,grandis
Scaldicetus,grandis
Scaldicetus,grandis
Scaldicetus,caretti
Scaldicetus,caretti
Scaldicetus,caretti
Scaldicetus,caretti
Scaldicetus,antwerpiensis
Thalassocetus,antwerpiensis
Ziphirostrum,marginatum
Protophocaena,minima
Piscobalaena,nana
Hemisyntrachelus,oligodon
Platyosphys,paulsonii
Platyosphys,paulsonii
Platyosphys,paulsonii
Macrochirifer,brachyspondylus
Hoplocetus,crassidens
Palaeophocaena,andrussowi
Ziphirostrum,marginatum
Balaena,affinis
Balaenotus,insignis
Balaenula,balaenopsis
Heterocetus,brevifrons
Herpetocetus,scaldiensis
Scaldicetus,caretti
Scaldicetus,caretti
Scaldicetus,grandis
Scaldicetus,caretti
Hoplocetus,crassidens
Hoplocetus,borgerhoutensis
Hoplocetus,curvidens
Choneziphius,planirostris
Choneziphius,planirostris
Choneziphius,planirostris
Mesoplodon,longirostris
Mesoplodon,longirostris
Mesoplodon,longirostris
Belemnoziphius,compressus
Mesoplodon,layardii
Orcinus,citoniensis
Globicephala,uncidens
Mesoplodon,tumidirostris
Squalodon,catulli
Squalodon,bariensis
Squalodelphis,fabianii
Scaldicetus,bellunensis
Ziphiodelphis,sigmoideus
Mycteriacetus,bellunensis
