"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"506564","occ","","","51414","Ziphiidae","family","42951","Early Pliocene","Late Pliocene","5.333","2.588","13672"
"506565","occ","","","51414","Delphinidae","family","42953","Early Pliocene","Late Pliocene","5.333","2.588","13672"
"506566","occ","","","51415","Ziphiidae","family","42951","Late Miocene","Late Pliocene","11.608","2.588","13672"
"506567","occ","","","51416","Ziphiidae","family","42951","Late Miocene","Late Pliocene","11.608","2.588","13672"
"506568","occ","","","51417","Mysticeti","suborder","42971","Late Miocene","Late Pliocene","11.608","2.588","13672"
"506569","occ","","","51417","Ziphiidae","family","42951","Late Miocene","Late Pliocene","11.608","2.588","13672"
"506570","occ","","","51418","Odontoceti","suborder","42937","Late Miocene","Late Pliocene","11.608","2.588","13672"
"506571","occ","","","51419","Mysticeti","suborder","42971","Late Miocene","Late Pliocene","11.608","2.588","13672"
"506572","occ","","","51419","Mesoplodon","genus","36763","Late Miocene","Late Pliocene","11.608","2.588","13672"
"506831","occ","","","51437","Cetacea","order","36652","Late Oligocene","","28.4","23.03","13684"
"506906","occ","","","51454","Mauicetus","genus","42974","Late Oligocene","","28.4","23.03","13684"
"508161","occ","","","51589","Anoplonassa forcipata","species","64443","Pliocene","Pleistocene","5.333","0.0117","13724"
"508163","occ","13187","","51590","Cetacea","order","36652","Miocene","","23.03","5.333","12845"
"508164","occ","13188","","51591","Mysticeti","suborder","42971","Zanclean","","5.333","3.6","12845"
"508628","occ","","","51680","Eurhinodelphis cocheteuxi","species","64595","Langhian","Serravallian","15.97","11.62","12761"
"508691","occ","","","51685","Eurhinodelphis cocheteuxi","species","64595","Langhian","Serravallian","15.97","11.62","13748"
"508692","occ","","","47465","Eurhinodelphis","genus","36717","Late Miocene","Late Pliocene","11.608","2.588","13748"
"513474","occ","","","51968","Cetacea","order","36652","Middle Miocene","","15.97","11.608","13708"
"513475","occ","","","51968","Odontoceti","suborder","42937","Middle Miocene","","15.97","11.608","13708"
"513490","occ","","","51973","Cetacea","order","36652","Late Miocene","","11.608","5.333","13708"
"513537","occ","","","51995","Cetacea","order","36652","Late Miocene","","11.608","5.333","13708"
"513547","occ","","","51997","Cetacea","order","36652","Late Miocene","","11.608","5.333","13708"
"513568","occ","","","52011","Odontoceti","suborder","42937","Late Miocene","","11.608","5.333","13708"
"513585","occ","","","52019","Cetacea","order","36652","Middle Miocene","","15.97","11.608","13708"
"513590","occ","","","52020","Cetacea","order","36652","Middle Miocene","","15.97","11.608","13708"
"513596","occ","","","52026","Cetacea","order","36652","Late Miocene","","11.608","5.333","13708"
"513598","occ","","","52027","Cetacea","order","36652","Late Miocene","","11.608","5.333","13708"
"513622","occ","","","44089","Idiocetus guicciardinii","species","64462","Villanyian","","3.2","2.588","12642"
"513646","occ","","","52048","Balaena pampaea","species","64591","Calabrian","","1.806","0.781","12759"
"513647","occ","","","52048","Notiocetus romerianus","species","64592","Calabrian","","1.806","0.781","12759"
"513648","occ","","","52049","Amphicetus later","species","64451","Tortonian","","11.62","7.246","12641"
"513649","occ","","","52050","Cephalotropis coronatus","species","63979","Tortonian","","11.62","7.246","12327"
"513724","occ","","","34521","Isocetus depauwi","species","64869","Tortonian","","11.62","7.246","12641"
"513725","occ","18332","","45469","Piscobalaena","genus","63932","Serravallian","","13.82","11.62","18255"
"513726","occ","21168","","45469","Piscobalaena","genus","63932","Serravallian","","13.82","11.62","18255"
"513740","occ","","","47465","Amphicetus","genus","36661","Late Miocene","Late Pliocene","11.608","2.588","12641"
"513753","occ","","","52061","Phococetus vasconum","species","63138","Rupelian","","33.9","28.1","15093"
"513754","occ","","","49684","Anacharsis orbus","species","63922","Sarmatian","","12.7","11.608","13951"
"513755","occ","13266","","52062","Astadelphis gastaldii","species","63833","Piacenzian","","3.6","2.588","12278"
"513756","occ","28510","","52063","Astadelphis gastaldii","species","63833","Zanclean","Piacenzian","5.333","2.588","46337"
"513757","occ","","","52064","Etruridelphis giulii","species","63824","Pliocene","","5.333","2.588","12278"
"513758","occ","","","52065","Stenella","genus","36854","Pliocene","","5.333","2.588","12278"
"513759","occ","","","52066","Hemisyntrachelus cortesii","species","64535","Pliocene","","5.333","2.588","12278"
"513760","occ","","","52067","Orcinus citoniensis","species","67992","Pliocene","","5.333","2.588","12278"
"513761","occ","","","52068","Sinanodelphis izumidaensis","species","63967","Langhian","","15.97","13.82","12317"
"513816","occ","","","46084","Physeteridae","family","42967","Messinian","","7.246","5.333","11895"
"513817","occ","","","45485","Lomacetus ginsburgi","species","64584","Tortonian","","11.62","7.246","12756"
"513818","occ","","","45486","Brachydelphis mazeasi","species","64569","Tortonian","","11.62","7.246","11895"
"513826","occ","","","52073","Heterodelphis klinderi","species","64583","Tortonian","","11.62","7.246","12127"
"513827","occ","","","48029","Pachyacanthus suessii","species","64470","Langhian","","15.97","13.82","12127"
"513838","occ","","","13522","Ischyrorhynchus vanbenedeni","species","63859","Tortonian","","11.62","7.246","12759"
"513839","occ","","","13522","Saurocetes argentinus","species","63503","Tortonian","","11.62","7.246","12759"
"513840","occ","","","13522","Odontoceti","suborder","42937","Tortonian","","11.62","7.246","12759"
"513848","occ","","","52075","Prosqualodon australis","species","58388","Early Miocene","","23.03","15.97","12777"
"513849","occ","","","13522","Saurocetes argentinus","species","63503","Tortonian","","11.62","7.246","12145"
"513891","occ","","","52083","Odontoceti","suborder","42937","Chattian","","28.1","23.03","11972"
"513904","occ","","","45886","Idiorophus patagonicus","species","64484","Burdigalian","","20.44","15.97","12338"
"514349","occ","","","52111","Tranatocetidae","family","328006","Tortonian","","11.62","7.246","13984"
"514350","occ","","","52111","Tranatocetidae","family","328006","Tortonian","","11.62","7.246","13982"
"514351","occ","31116","","52111","Cephalotropis coronatus","species","63979","Tortonian","","11.62","7.246","55050"
"515101","occ","","","52152","Orycterocetus","genus","36788","Burdigalian","Messinian","20.44","5.333","14016"
"515454","occ","","","52183","Cetotheriidae","family","66751","Langhian","","15.97","13.82","6029"
"515475","occ","","","46070","Mysticeti","suborder","42971","Tortonian","","11.62","7.246","6029"
"515478","occ","","","40514","Balaenopteridae","family","42977","Tortonian","","11.62","7.246","6029"
"515486","occ","","","52185","Delphinidae","family","42953","Tortonian","","11.62","7.246","6029"
"515487","occ","","","52185","Delphinapterinae","subfamily","63531","Tortonian","","11.62","7.246","6029"
"515488","occ","24367","","52185","Nannocetus eremus","species","62941","Tortonian","","11.62","7.246","26217"
"515832","occ","","","52184","Delphinidae","family","42953","Tortonian","","11.62","7.246","6029"
"515833","occ","","","52184","Nannocetus","genus","36778","Tortonian","","11.62","7.246","6029"
"515834","occ","","","52184","Balaenopteridae","family","42977","Tortonian","","11.62","7.246","6029"
"515837","occ","","","52184","Cetacea","order","36652","Tortonian","","11.62","7.246","6029"
"515848","occ","","","52202","Delphinoidea","superfamily","53268","Tortonian","","11.62","7.246","6029"
"515849","occ","","","52202","Mysticeti","suborder","42971","Tortonian","","11.62","7.246","6029"
"515858","occ","","","52210","Cetacea","order","36652","Tortonian","","11.62","7.246","6029"
"515968","occ","","","52213","Pithanodelphis","genus","36812","Late Miocene","Early Pliocene","11.608","3.6","6029"
"515969","occ","","","52213","Physeteridae","family","42967","Late Miocene","Early Pliocene","11.608","3.6","6029"
"515970","occ","","","52213","Cetotheriidae","family","66751","Late Miocene","Early Pliocene","11.608","3.6","6029"
"515986","occ","","","52216","Scaldicetus grandis","species","64626","Tortonian","","11.62","7.246","6029"
"515988","occ","","","52216","Delphinapterinae","subfamily","63531","Tortonian","","11.62","7.246","6029"
"515989","occ","","","52216","Argyrocetus","genus","36668","Tortonian","","11.62","7.246","6029"
"515990","occ","","","52216","Balaenula","genus","36680","Tortonian","","11.62","7.246","6029"
"515994","occ","","","52217","Odontoceti","suborder","42937","Zanclean","","5.333","3.6","6029"
"516012","occ","","","52218","Stenella","genus","36854","Piacenzian","","3.6","2.588","6029"
"516013","occ","","","52218","Phocoenidae","family","102804","Piacenzian","","3.6","2.588","6029"
"516014","occ","","","52218","Herpetocetus","genus","36725","Piacenzian","","3.6","2.588","6029"
"516015","occ","","","52218","Balaenopteridae","family","42977","Piacenzian","","3.6","2.588","6029"
"516019","occ","","","50069","Balaenopteridae","family","42977","Zanclean","","5.333","3.6","6029"
"516021","occ","","","52219","Scaldicetus grandis","species","64626","Piacenzian","","3.6","2.588","6029"
"516026","occ","","","52220","Balaenopteridae","family","42977","Hemphillian","","10.3","4.9","6029"
"516064","occ","","","52223","Scaldicetus","genus","36900","Piacenzian","","3.6","2.588","6029"
"516134","occ","","","13451","Odontoceti","suborder","42937","Piacenzian","","3.6","2.588","6029"
"516135","occ","","","13451","Balaenopteridae","family","42977","Piacenzian","","3.6","2.588","6029"
"516220","occ","","","52243","Cetacea","order","36652","Middle Pleistocene","","0.781","0.126","6029"
"517172","occ","","","52418","Cetacea","order","36652","Chattian","","28.1","23.03","14094"
"518067","occ","","","52580","Lagenorhynchus","genus","36746","Zanclean","","5.333","3.6","13621"
"518068","occ","23264","","52580","Balaenoptera","genus","36678","Zanclean","","5.333","3.6","33106"
"518069","occ","","","52581","Iniinae","subfamily","63505","Zanclean","","5.333","3.6","14141"
"518070","occ","","","52582","Lagenorhynchus","genus","36746","Zanclean","","5.333","3.6","14141"
"518071","occ","","","48093","Leucopleurus acutus","species","102679","Gelasian","","2.588","1.806","14141"
"518073","occ","","","52584","Parapontoporia sternbergi","species","67003","Piacenzian","","3.6","2.588","14143"
