"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"777711","occ","","","83473","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","27683"
"777712","occ","","","83474","Globicephala macrorhynchus","species","69994","Holocene","","0.0117","0","27683"
"777713","occ","","","83475","Globicephala","genus","36721","Holocene","","0.0117","0","27683"
"777714","occ","","","83476","Kogia breviceps","species","64509","Holocene","","0.0117","0","27683"
"777715","occ","","","83477","Kogia breviceps","species","64509","Holocene","","0.0117","0","27683"
"777716","occ","","","83477","Kogia sima","species","103701","Holocene","","0.0117","0","27683"
"777717","occ","","","83478","Kogia breviceps","species","64509","Holocene","","0.0117","0","27683"
"777718","occ","","","83479","Kogia sima","species","103701","Holocene","","0.0117","0","27683"
"777719","occ","","","83480","Kogia sima","species","103701","Holocene","","0.0117","0","27683"
"777720","occ","","","83481","Megaptera novaeangliae","species","64491","Holocene","","0.0117","0","27683"
"777721","occ","","","83482","Mesoplodon densirostris","species","113230","Holocene","","0.0117","0","27683"
"777722","occ","","","83483","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777723","occ","","","83484","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777724","occ","","","83485","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777725","occ","","","83486","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777726","occ","","","83487","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777727","occ","","","83488","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777728","occ","","","83489","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777729","occ","","","83490","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777730","occ","","","83491","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777731","occ","","","83492","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777732","occ","","","83493","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777733","occ","","","83494","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777734","occ","","","83495","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777735","occ","","","83496","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777736","occ","","","83497","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777737","occ","","","83498","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777738","occ","","","83499","Physeter macrocephalus","species","68698","Holocene","","0.0117","0","27683"
"777739","occ","","","83500","Stenella longirostris","species","82058","Holocene","","0.0117","0","27683"
"777740","occ","","","83501","Stenella longirostris","species","82058","Holocene","","0.0117","0","27683"
"780217","occ","","","83938","Dorudon atrox","species","62994","Priabonian","","38","33.9","11955"
"780514","occ","","","83980","Georgiacetus vogtlensis","species","63123","Lutetian","","47.8","41.3","28136"
"780515","occ","","","83980","Protocetidae","family","42934","Lutetian","","47.8","41.3","28136"
"780516","occ","","","83981","Georgiacetus vogtlensis","species","63123","Bartonian","","41.3","38","28136"
"781876","occ","","","84232","Septemtriocetus bosselaersi","species","133842","Piacenzian","","3.6","2.588","28212"
"782527","occ","","","84332","Aetiocetus cotylalveus","species","63473","Rupelian","","33.9","28.1","28334"
"782899","occ","","","84373","Balaena mysticetus","species","64683","Holocene","","0.0117","0","28274"
"783903","occ","","","84454","Cetacea","order","36652","Messinian","","7.246","5.333","28294"
"784836","occ","21216","","48029","Balaenopteridae","family","42977","Langhian","","15.97","13.82","18748"
"784840","occ","","","84610","Albireo whistleri","species","64532","Messinian","","7.246","5.333","28389"
"784841","occ","","","84610","Physeterinae","subfamily","62911","Messinian","","7.246","5.333","28389"
"784842","occ","","","45460","Albireo whistleri","species","64532","Messinian","","7.246","5.333","28389"
"784843","occ","","","45458","Albireo","genus","36659","Messinian","","7.246","5.333","28389"
"784845","occ","","","13451","Albireo savagei","species","135184","Piacenzian","","3.6","2.588","28389"
"785970","occ","","","18587","Physeteridae","family","42967","Langhian","","15.97","13.82","28441"
"785971","occ","","","84754","Zygorhiza kochii","species","63069","Priabonian","","38","33.9","11978"
"785973","occ","","","83938","Dorudon atrox","species","62994","Priabonian","","38","33.9","11956"
"785974","occ","","","58456","Protocetus atavus","species","62989","Lutetian","","47.8","41.3","11953"
"786073","occ","","","84788","Cetacea","order","36652","Hemingfordian","","20.43","15.97","28442"
"786227","occ","","","54075","Albertocetus meffordorum","species","135854","Chattian","","28.1","23.03","28465"
"786229","occ","","","57734","Odontoceti","suborder","42937","Sarmatian","","12.7","11.608","24969"
"786230","occ","","","57734","Chaeomysticeti","infraorder","53254","Sarmatian","","12.7","11.608","24969"
"786779","occ","","","20585","Cetacea","order","36652","Late Pleistocene","","0.126","0.0117","2018"
"786782","occ","","","84882","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018"
"786783","occ","","","84883","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018"
"786784","occ","","","71072","Odontoceti","suborder","42937","Langhian","Serravallian","15.97","11.62","2018"
"786785","occ","","","84884","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018"
"786786","occ","","","84885","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018"
"786787","occ","","","84886","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018"
"786788","occ","","","84887","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018"
"786789","occ","","","84888","Cetacea","order","36652","Late Pleistocene","","0.126","0.0117","2018"
"786791","occ","","","84890","Cetacea","order","36652","Holocene","","0.0117","0","2018"
"786792","occ","","","84891","Lissodelphis","genus","63570","Rancholabrean","","0.3","0.012","2018"
"786795","occ","","","20639","Delphinidae","family","42953","Late Pleistocene","","0.126","0.0117","2018"
"786796","occ","","","20639","Mysticeti","suborder","42971","Late Pleistocene","","0.126","0.0117","2018"
"786797","occ","","","84892","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018"
"786806","occ","","","84895","Delphinidae","family","42953","Rancholabrean","","0.3","0.012","2018"
"786810","occ","","","20624","Mysticeti","suborder","42971","Rancholabrean","","0.3","0.012","2018"
"786811","occ","","","84896","Tursiops","genus","36865","Rancholabrean","","0.3","0.012","2018"
"786812","occ","","","84897","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018"
"786815","occ","","","84899","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018"
"786817","occ","","","20630","Delphinidae","family","42953","Rancholabrean","","0.3","0.012","2018"
"786819","occ","","","84902","Mysticeti","suborder","42971","Rancholabrean","","0.3","0.012","2018"
"786934","occ","","","84942","Lissodelphis peronii","species","82070","Holocene","","0.0117","0","12161"
"786935","occ","","","84943","Lissodelphis borealis","species","63571","Holocene","","0.0117","0","12161"
"786937","occ","","","67108","Hemisyntrachelus cortesii","species","64535","Zanclean","","5.333","3.6","18166"
"786938","occ","","","84944","Tursiops brocchii","species","87357","Piacenzian","","3.6","2.588","24153"
"786940","occ","","","84944","Mysticeti","suborder","42971","Piacenzian","","3.6","2.588","18166"
"786941","occ","","","84945","Physeterula dubusi","species","64464","Miocene","","23.03","5.333","23603"
"786942","occ","","","84946","Cetacea","order","36652","Neogene","","23.03","2.588","28509"
"786943","occ","","","84947","Delphinodon carniolicus","species","68809","Langhian","","15.97","13.82","15273"
"786944","occ","23829","","84948","Odontoceti","suborder","42937","Neogene","","23.03","2.588","34876"
"786945","occ","","","84949","Odontoceti","suborder","42937","Sarmatian","","12.7","11.608","15273"
"786946","occ","","","84949","Heterodelphis croatica","species","68810","Sarmatian","","12.7","11.608","15273"
"786947","occ","","","84949","Mesocetus agrami","species","69125","Sarmatian","","12.7","11.608","15446"
"787142","occ","","","18506","Odontoceti","suborder","42937","Miocene","","23.03","5.333","15080"
"787146","occ","","","55396","Odontoceti","suborder","42937","Langhian","","15.97","13.82","12189"
"787179","occ","","","49982","Odontoceti","suborder","42937","Zanclean","","5.333","3.6","13421"
"787227","occ","","","45485","Piscolithax aenigmaticus","species","63943","Tortonian","","11.62","7.246","12843"
"787228","occ","","","47080","Pachyacanthus suessii","species","64470","Sarmatian","","12.7","11.608","11981"
"787237","occ","","","38499","Stenella","genus","36854","Early Pleistocene","","2.588","0.781","28532"
"787245","occ","","","79697","Odontoceti","suborder","42937","Early Pleistocene","","2.588","0.781","28532"
"787288","occ","","","58148","Argyrocetus bakersfieldensis","species","64562","Chattian","","28.1","23.03","12749"
"787290","occ","","","45886","Prosqualodon australis","species","58388","Burdigalian","","20.44","15.97","12338"
"787291","occ","","","45886","Argyrocetus patagonicus","species","63997","Burdigalian","","20.44","15.97","12338"
"787332","occ","","","57731","Hemisyntrachelus cortesii","species","64535","Zanclean","Piacenzian","5.333","2.588","19618"
"787340","occ","21120","","48652","Delphinidae","family","42953","Piacenzian","","3.6","2.588","28550"
"787341","occ","21140","","48652","Delphinidae","family","42953","Piacenzian","","3.6","2.588","28550"
"787342","occ","","","85022","Hemisyntrachelus cortesii","species","64535","Zanclean","","5.333","3.6","15407"
"787343","occ","","","76977","Hemisyntrachelus cortesii","species","64535","Pliocene","","5.333","2.588","15407"
"787344","occ","","","71101","Hemisyntrachelus cortesii","species","64535","Piacenzian","","3.6","2.588","15407"
"787347","occ","","","85023","Schizodelphis compressus","species","69735","Late Miocene","","11.608","5.333","13952"
"787555","occ","","","57780","Schizodelphis planus","species","72079","Burdigalian","","20.44","15.97","12784"
"787578","occ","","","57785","Xiphiacetus bossi","species","66353","Langhian","","15.97","13.82","15550"
"787579","occ","","","45506","Xiphiacetus bossi","species","66353","Langhian","","15.97","13.82","15550"
"787584","occ","","","47465","Xiphiacetus cristatus","species","64644","Late Miocene","Late Pliocene","11.608","2.588","12768"
"787585","occ","","","45508","Xiphiacetus cristatus","species","64644","Langhian","","15.97","13.82","15550"
"787586","occ","","","45506","Xiphiacetus cristatus","species","64644","Langhian","","15.97","13.82","15550"
"787587","occ","","","57780","Hoplocetus crassidens","species","64696","Burdigalian","","20.44","15.97","24709"
"787588","occ","","","81668","Hoplocetus crassidens","species","64696","Langhian","","15.97","13.82","24709"
"787593","occ","","","56693","Hoplocetus curvidens","species","69223","Pliocene","","5.333","2.588","28567"
"787594","occ","","","79950","Hoplocetus","genus","36728","Pleistocene","","2.588","0.0117","11886"
"787639","occ","","","85069","Scaldicetus grandis","species","64626","Miocene","","23.03","5.333","18970"
"787640","occ","","","85022","Scaldicetus minor","species","69616","Zanclean","","5.333","3.6","13952"
"787651","occ","","","47425","Odontoceti","suborder","42937","Burdigalian","","20.44","15.97","12324"
"787652","occ","","","75264","Odontoceti","suborder","42937","Serravallian","","13.82","11.62","24302"
"787653","occ","","","56686","Delphinus domeykoi","species","70701","Zanclean","","5.333","3.6","16568"
"787658","occ","","","77581","Orycterocetus quadratidens","species","63668","Zanclean","","5.333","3.6","13727"
"787659","occ","","","77581","Orycterocetus cornutidens","species","69120","Zanclean","","5.333","3.6","15586"
"788174","occ","23572","","80365","Brachydelphis","genus","36685","Late Miocene","","11.608","5.333","34357"
"788188","occ","","","56693","Physeter antiquus","species","136970","Pliocene","","5.333","2.588","13983"
"788228","occ","","","77750","Eubalaena glacialis","species","81899","Early Pleistocene","","2.588","0.781","28641"
"788231","occ","","","58421","Physeter macrocephalus","species","68698","Middle Pleistocene","","0.781","0.126","28641"
"788235","occ","21139","","77753","Physeterula dubusi","species","64464","Late Pliocene","","3.6","2.588","28641"
"788241","occ","","","58420","Orcinus orca","species","64540","Early Pleistocene","","2.588","0.781","28641"
"788242","occ","","","77754","Pseudorca crassidens","species","64543","Middle Pleistocene","","0.781","0.126","28641"
"788243","occ","","","48093","Monodon monoceros","species","64546","Gelasian","","2.588","1.806","28641"
"788244","occ","","","85135","Monodon monoceros","species","64546","Pleistocene","","2.588","0.0117","28641"
"788245","occ","","","58419","Delphinapterus leucas","species","64545","Middle Pleistocene","","0.781","0.126","28641"
"788246","occ","","","77750","Tursiops truncatus","species","102834","Early Pleistocene","","2.588","0.781","28641"
"788247","occ","","","47425","Physeterula dubusi","species","64464","Burdigalian","","20.44","15.97","23603"
"788248","occ","","","76978","Physotherium sotterii","species","63948","Pliocene","","5.333","2.588","13952"
"788249","occ","","","76978","Odontoceti","suborder","42937","Pliocene","","5.333","2.588","13952"
"788250","occ","","","48070","Cetacea","order","36652","Serravallian","","13.82","11.62","11981"
"788251","occ","","","48093","Mesoplodon","genus","36763","Gelasian","","2.588","1.806","14624"
"788252","occ","","","48093","Mesoplodon","genus","36763","Gelasian","","2.588","1.806","14624"
"788253","occ","","","48093","Mesoplodon","genus","36763","Gelasian","","2.588","1.806","14624"
"788348","occ","","","85152","Cetorhynchus christoli","species","64478","Miocene","","23.03","5.333","12653"
"788349","occ","","","47465","Choneziphius planirostris","species","67993","Late Miocene","Late Pliocene","11.608","2.588","14621"
"788350","occ","","","47465","Choneziphius planirostris","species","67993","Late Miocene","Late Pliocene","11.608","2.588","14624"
"788351","occ","","","85153","Choneziphius planirostris","species","67993","Piacenzian","","3.6","2.588","14624"
"788375","occ","","","48093","Ziphius compressus","species","70381","Gelasian","","2.588","1.806","14624"
"788376","occ","","","85154","Belemnoziphius compressus","species","64702","Piacenzian","","3.6","2.588","12787"
"788381","occ","","","85155","Pomatodelphis stenorhynchus","species","69729","Middle Miocene","","15.97","11.608","15278"
"788391","occ","","","85158","Cetotherium crassangulum","species","64010","Pliocene","","5.333","2.588","12331"
"788501","occ","","","55396","Zarhachis flagellator","species","63658","Langhian","","15.97","13.82","12174"
"788502","occ","","","55396","Odontoceti","suborder","42937","Langhian","","15.97","13.82","12189"
"788503","occ","","","18587","Squalodon atlanticus","species","68297","Langhian","","15.97","13.82","14981"
"788504","occ","","","55396","Odontoceti","suborder","42937","Langhian","","15.97","13.82","12174"
"788505","occ","","","55396","Odontoceti","suborder","42937","Langhian","","15.97","13.82","12174"
"788506","occ","","","85169","Balaenoptera davidsonii","species","68434","Piacenzian","","3.6","2.588","15081"
"788512","occ","","","55396","Mysticeti","suborder","42971","Langhian","","15.97","13.82","12174"
"788513","occ","","","71798","Mysticeti","suborder","42971","Langhian","","15.97","13.82","12174"
"788514","occ","","","55396","Odontoceti","suborder","42937","Langhian","","15.97","13.82","12174"
"788515","occ","","","55396","Odontoceti","suborder","42937","Langhian","","15.97","13.82","12174"
"788520","occ","","","55396","Odontoceti","suborder","42937","Langhian","","15.97","13.82","12174"
"788522","occ","","","55396","Odontoceti","suborder","42937","Langhian","","15.97","13.82","12174"
"788523","occ","","","55396","Odontoceti","suborder","42937","Langhian","","15.97","13.82","14163"
"788524","occ","","","71798","Mysticeti","suborder","42971","Langhian","","15.97","13.82","14163"
"788526","occ","","","85158","Mysticeti","suborder","42971","Pliocene","","5.333","2.588","12329"
"788564","occ","","","85158","Mysticeti","suborder","42971","Pliocene","","5.333","2.588","12329"
"788565","occ","","","55396","Mysticeti","suborder","42971","Langhian","","15.97","13.82","12195"
"788566","occ","","","55396","Odontoceti","suborder","42937","Langhian","","15.97","13.82","12174"
"788567","occ","","","55396","Odontoceti","suborder","42937","Langhian","","15.97","13.82","12174"
"788568","occ","","","55396","Odontoceti","suborder","42937","Langhian","","15.97","13.82","12174"
"788569","occ","","","55396","Cetotherium parvum","species","65769","Langhian","","15.97","13.82","12174"
"788582","occ","21428","","45654","Squalodontidae","family","42939","Chattian","","28.1","23.03","16695"
"788809","occ","","","77753","Mesoplodon longirostris","species","64852","Late Pliocene","","3.6","2.588","28696"
"788825","occ","","","48660","Squalodon bordae","species","68305","Burdigalian","","20.44","15.97","6031"
"788830","occ","","","52083","Squalodon linzianus","species","90637","Chattian","","28.1","23.03","12127"
"788832","occ","","","85259","Orycterocetus","genus","36788","Burdigalian","Langhian","20.44","13.82","38808"
"788834","occ","","","47425","Squalodon meyeri","species","68338","Burdigalian","","20.44","15.97","11981"
"788835","occ","","","85260","Squalodon vocontiorum","species","69711","Burdigalian","","20.44","15.97","33877"
"788889","occ","","","52083","Patriocetus denggi","species","63425","Chattian","","28.1","23.03","11972"
"788949","occ","","","52083","Patriocetus ehrlichii","species","68320","Chattian","","28.1","23.03","12816"
"788951","occ","","","47623","Squalodon peregrinus","species","137368","Aquitanian","","23.03","20.44","29034"
"788955","occ","","","47623","Zignodelphis miocaenus","species","66032","Aquitanian","","23.03","20.44","13606"
"788956","occ","","","70835","Odontoceti","suborder","42937","Langhian","","15.97","13.82","11925"
"788959","occ","","","49402","Odontoceti","suborder","42937","Middle Miocene","","15.97","11.608","23631"
"788961","occ","","","18506","Odontoceti","suborder","42937","Miocene","","23.03","5.333","12636"
"788962","occ","29566","","59273","Cetotherium capellinii","species","68443","Zanclean","Piacenzian","5.333","2.588","49778"
"788963","occ","","","76978","Mysticeti","suborder","42971","Pliocene","","5.333","2.588","15272"
"788964","occ","","","56692","Balaenoptera (Plesiocetus) cortesii","species","83540","Zanclean","Piacenzian","5.333","2.588","13952"
"788981","occ","","","85152","Plesiocetus gervaisii","species","69852","Miocene","","23.03","5.333","12326"
"788982","occ","","","57733","Plesiocetus","genus","36817","Tortonian","","11.62","7.246","19302"
"788983","occ","","","57733","Plesiocetus","genus","36817","Tortonian","","11.62","7.246","19302"
"788984","occ","","","57733","Plesiocetus","genus","36817","Tortonian","","11.62","7.246","19302"
"788985","occ","","","57733","Plesiocetus","genus","36817","Tortonian","","11.62","7.246","19302"
"788986","occ","","","57733","Plesiocetus minor","species","137422","Tortonian","","11.62","7.246","19302"
"788987","occ","","","57733","Heterocetus","genus","36726","Tortonian","","11.62","7.246","19302"
"789014","occ","","","47080","Pachyacanthus suessii","species","64470","Sarmatian","","12.7","11.608","11981"
"789019","occ","","","85297","Eucetotherium helmersenii","species","69836","Sarmatian","","12.7","11.608","12127"
"789100","occ","","","85312","Mithridatocetus","genus","347264","Sarmatian","","12.7","11.608","28770"
"789111","occ","","","85313","Cetacea","order","36652","Barstovian","","15.97","13.6","28773"
"789127","occ","","","84331","Physeteridae","family","42967","Clarendonian","","13.6","10.3","28773"
"789128","occ","","","84331","Odontoceti","suborder","42937","Clarendonian","","13.6","10.3","28773"
"789150","occ","","","85314","Cetacea","order","36652","Rancholabrean","","0.3","0.012","28773"
"789235","occ","","","20646","Cetacea","order","36652","Late Pleistocene","","0.126","0.0117","28773"
"789378","occ","","","52083","Cetotheriopsis lintianus","species","63466","Chattian","","28.1","23.03","16562"
"789380","occ","","","84944","Balaena","genus","36676","Piacenzian","","3.6","2.588","12817"
"789381","occ","","","47465","Balaena dubusi","species","100527","Late Miocene","Late Pliocene","11.608","2.588","12326"
"789384","occ","","","85338","Balaena larteti","species","137570","Neogene","","23.03","2.588","12881"
"789395","occ","","","45497","Balaenidae","family","42978","Zanclean","","5.333","3.6","13332"
"789456","occ","","","67029","Balaenidae","family","42978","Pliocene","","5.333","2.588","12326"
"789457","occ","","","49404","Balaenotus insignis","species","64447","Pliocene","","5.333","2.588","12326"
"789458","occ","","","49404","Balaenopteridae","family","42977","Pliocene","","5.333","2.588","12326"
"789459","occ","","","67028","Balaenopteridae","family","42977","Pliocene","","5.333","2.588","12326"
"789460","occ","","","49404","Balaenopteridae","family","42977","Pliocene","","5.333","2.588","12326"
"789461","occ","","","49404","Heterocetus brevifrons","species","70452","Pliocene","","5.333","2.588","12326"
"789462","occ","","","65176","Aglaocetus burtinii","species","69124","Pliocene","","5.333","2.588","12326"
"789463","occ","","","49404","Mysticeti","suborder","42971","Pliocene","","5.333","2.588","12326"
"789464","occ","","","77492","Herpetocetus scaldiensis","species","64450","Zanclean","","5.333","3.6","12326"
"789465","occ","","","49404","Herpetocetus scaldiensis","species","64450","Pliocene","","5.333","2.588","12326"
"789466","occ","","","57138","Herpetocetus scaldiensis","species","64450","Pliocene","","5.333","2.588","12326"
"789467","occ","","","76976","Balaenula","genus","36680","Pliocene","","5.333","2.588","29298"
"789469","occ","","","85360","Mesocetus siphunculus","species","64012","Burdigalian","","20.44","15.97","12331"
"789471","occ","","","85360","Odontoceti","suborder","42937","Burdigalian","","20.44","15.97","12331"
"789472","occ","","","85360","Cetotheriidae","family","66751","Burdigalian","","20.44","15.97","12331"
"789476","occ","","","48660","Squalodon grateloupii","species","63728","Burdigalian","","20.44","15.97","28798"
"789477","occ","","","48654","Balaenidae","family","42978","Pliocene","","5.333","2.588","28799"
"789666","occ","","","47465","Balaena arcuata","species","69872","Late Miocene","Late Pliocene","11.608","2.588","24644"
"789823","occ","","","57732","Balaenula balaenopsis","species","68973","Burdigalian","","20.44","15.97","28853"
"789824","occ","","","57732","Squalodon grateloupii","species","63728","Burdigalian","","20.44","15.97","28853"
"789825","occ","","","57732","Plesiocetus","genus","36817","Burdigalian","","20.44","15.97","28853"
"789826","occ","21204","","57732","Cetacea","order","36652","Burdigalian","","20.44","15.97","12845"
"789828","occ","","","84893","Squalodelphinidae","family","63677","Early Miocene","","23.03","15.97","28854"
"789829","occ","","","85460","Mysticeti","suborder","42971","Zanclean","","5.333","3.6","28854"
"789830","occ","","","85461","Squalodelphinidae","family","63677","Early Miocene","","23.03","15.97","28854"
"789831","occ","","","85462","Mesocetus aquitanicus","species","69863","Neogene","","23.03","2.588","28855"
"789832","occ","","","57732","Mesocetus aquitanicus","species","69863","Burdigalian","","20.44","15.97","28855"
"789833","occ","","","85338","Odontoceti","suborder","42937","Neogene","","23.03","2.588","28855"
"789834","occ","21205","","85338","Cetacea","order","36652","Neogene","","23.03","2.588","12845"
"789835","occ","","","85338","Squalodon","genus","36852","Neogene","","23.03","2.588","28855"
"789836","occ","","","85338","Physeter antiquus","species","136970","Neogene","","23.03","2.588","28855"
"790116","occ","","","47080","Pachyacanthus suessii","species","64470","Sarmatian","","12.7","11.608","18748"
"790117","occ","","","47080","Pachyacanthus","genus","42946","Sarmatian","","12.7","11.608","18748"
"790118","occ","","","47080","Balaenopteridae","family","42977","Sarmatian","","12.7","11.608","18748"
"790119","occ","","","73366","Balaenopteridae","family","42977","Sarmatian","","12.7","11.608","18748"
"790120","occ","","","85507","Balaenopteridae","family","42977","Miocene","","23.03","5.333","18748"
"790121","occ","","","85508","Mesocetus","genus","36762","Tortonian","","11.62","7.246","18748"
"790122","occ","","","56694","Balaenopteridae","family","42977","Serravallian","","13.82","11.62","18748"
"790123","occ","","","73366","Pachyacanthus suessii","species","64470","Sarmatian","","12.7","11.608","18748"
"790124","occ","","","85507","Pachyacanthus suessii","species","64470","Miocene","","23.03","5.333","18748"
"790125","occ","","","85509","Balaenopteridae","family","42977","Neogene","","23.03","2.588","18748"
"790126","occ","","","48029","Pachyacanthus","genus","42946","Langhian","","15.97","13.82","18748"
"790127","occ","","","73276","Pachyacanthus suessii","species","64470","Serravallian","","13.82","11.62","18748"
"790128","occ","","","85510","Balaenopteridae","family","42977","Miocene","","23.03","5.333","18748"
"790129","occ","","","70504","Balaenopteridae","family","42977","Sarmatian","","12.7","11.608","18748"
"790130","occ","","","65410","Cetotherium","genus","36692","Burdigalian","","20.44","15.97","18748"
"790131","occ","","","85511","Pachyacanthus","genus","42946","Pliocene","","5.333","2.588","18748"
"790132","occ","","","56694","Cetacea","order","36652","Serravallian","","13.82","11.62","18748"
"790133","occ","","","47080","Odontoceti","suborder","42937","Sarmatian","","12.7","11.608","11981"
"790134","occ","","","47080","Odontoceti","suborder","42937","Sarmatian","","12.7","11.608","11981"
"790137","occ","","","48029","Acrodelphinidae","family","42962","Langhian","","15.97","13.82","18748"
"790138","occ","","","47080","Acrodelphinidae","family","42962","Sarmatian","","12.7","11.608","18748"
"790139","occ","","","56694","Acrodelphinidae","family","42962","Serravallian","","13.82","11.62","18748"
"790140","occ","","","85507","Odontoceti","suborder","42937","Miocene","","23.03","5.333","18748"
"790141","occ","","","65181","Schizodelphis sulcatus","species","63687","Burdigalian","","20.44","15.97","18748"
"790142","occ","","","65181","Schizodelphis","genus","36848","Burdigalian","","20.44","15.97","18748"
"790143","occ","","","65181","Acrodelphinidae","family","42962","Burdigalian","","20.44","15.97","18748"
"790144","occ","","","65181","Odontoceti","suborder","42937","Burdigalian","","20.44","15.97","18748"
"790145","occ","","","56462","Acrodelphinidae","family","42962","Serravallian","","13.82","11.62","18748"
"790146","occ","","","85513","Acrodelphinidae","family","42962","Tortonian","","11.62","7.246","18748"
"790148","occ","","","85514","Cetacea","order","36652","Tortonian","","11.62","7.246","28902"
"790199","occ","","","67024","Scaldicetus caretti","species","64596","Middle Miocene","","15.97","11.608","12761"
"790200","occ","","","70504","Acrodelphinidae","family","42962","Sarmatian","","12.7","11.608","12761"
"790201","occ","","","85507","Acrodelphinidae","family","42962","Miocene","","23.03","5.333","12761"
"790202","occ","","","73366","Squaloceti","unranked clade","68694","Sarmatian","","12.7","11.608","12761"
"792524","occ","","","49685","Eucetotherium","genus","36716","Serravallian","","13.82","11.62","28993"
"792525","occ","","","49685","Plesiocetopsis","genus","36816","Serravallian","","13.82","11.62","28993"
"792526","occ","","","49685","Cetotheriophanes","genus","64580","Serravallian","","13.82","11.62","28993"
"792527","occ","","","49685","Mithridatocetus","genus","347264","Serravallian","","13.82","11.62","28993"
"792531","occ","","","47465","Heterocetus","genus","36726","Late Miocene","Late Pliocene","11.608","2.588","12883"
"792532","occ","","","47465","Amphicetus","genus","36661","Late Miocene","Late Pliocene","11.608","2.588","12641"
"794709","occ","","","86236","Eschrichtius robustus","species","64488","Late Pleistocene","","0.126","0.0117","29063"
"794726","occ","","","86251","Balaenotus insignis","species","64447","Pliocene","","5.333","2.588","28979"
"794727","occ","","","86251","Balaenidae","family","42978","Pliocene","","5.333","2.588","28979"
"794728","occ","","","86251","Balaenidae","family","42978","Pliocene","","5.333","2.588","28979"
"794738","occ","","","86271","Cetacea","order","36652","Late Pleistocene","","0.126","0.0117","29072"
"794741","occ","","","86273","Physeter macrocephalus","species","68698","Late Pleistocene","","0.126","0.0117","29158"
"794915","occ","","","86305","Hemisyntrachelus cortesii","species","64535","Piacenzian","","3.6","2.588","19618"
"794916","occ","","","86306","Notiocetus platensis","species","69869","Pleistocene","","2.588","0.0117","16565"
"794917","occ","","","56685","Schizodelphis sulcatus","species","63687","Middle Miocene","","15.97","11.608","12198"
"795243","occ","","","86331","Delphinidae","family","42953","Late Pleistocene","","0.126","0.0117","29092"
"796240","occ","","","71648","Araeodelphis natator","species","62957","Langhian","","15.97","13.82","11926"
"796246","occ","","","86500","Lophocetus calvertensis","species","64430","Tortonian","","11.62","7.246","12835"
"796249","occ","","","71798","Metopocetus durinasus","species","63977","Langhian","","15.97","13.82","12327"
"796315","occ","21285","","52059","Delphinidae","family","42953","Pliocene","","5.333","2.588","12278"
"796316","occ","","","47427","Odontoceti","suborder","42937","Burdigalian","","20.44","15.97","29143"
"796317","occ","","","52083","Squalodon grateloupii","species","63728","Chattian","","28.1","23.03","16669"
"796318","occ","","","52083","Squalodon hypsispondylus","species","68332","Chattian","","28.1","23.03","15197"
"796322","occ","","","85338","Schizodelphis sulcatus","species","63687","Neogene","","23.03","2.588","29146"
"796365","occ","","","86521","Eschrichtius robustus","species","64488","Holocene","","0.0117","0","29063"
"796366","occ","","","86523","Eschrichtius robustus","species","64488","Holocene","","0.0117","0","29063"
"796367","occ","","","86522","Eschrichtius robustus","species","64488","Holocene","","0.0117","0","29063"
"796368","occ","","","86526","Eschrichtius robustus","species","64488","Holocene","","0.0117","0","29063"
"796369","occ","","","86525","Eschrichtius robustus","species","64488","Holocene","","0.0117","0","29063"
"796370","occ","","","56423","Eschrichtius robustus","species","64488","Holocene","","0.0117","0","29063"
"796371","occ","","","86527","Eschrichtius robustus","species","64488","Holocene","","0.0117","0","29063"
"797035","occ","","","86616","Archaeoceti","suborder","42933","Priabonian","","38","33.9","15072"
