"Delphinus (Grampus) n. sp. heavisidei","species","Holocene"
"Orca (Orcaella) n. sp. brevirostris","species","Holocene"
"Delphinus n. sp. griseus","species","Holocene"
"Delphinus n. sp. melas","species","Holocene"
"Delphinus n. sp. globiceps","species","Holocene"
"Delphinus aff. delphis","species","Waipipian"
"Delphinus delphis","species","Late Pleistocene"
"Tursiops truncatus","species","Late Pleistocene"
"Orcinus orca","species","Holocene"
"n. gen. Protoglobicephala n. sp. mexicana","species","Piacenzian"
"n. gen. Etruridelphis giulii","species","Zanclean"
"Globicephala melas","species","Late Pleistocene"
"Delphinus domeykoi","species","Middle Miocene"
"n. gen. Platalearostrum n. sp. hoekmani","species","Late Pliocene"
"Orcinus orca","species","Late Pleistocene"
"Orcaella n. sp. heinsohni","species","Holocene"
"Orcaella heinsohni","species","Holocene"
"Orcaella heinsohni","species","Holocene"
"Delphinus delphis","species","Pliocene"
"Eudelphinus compressus","species","Pliocene"
"Astadelphis gastaldii","species","Zanclean"
"Astadelphis gastaldii","species","Zanclean"
"Leucopleurus acutus","species","Holocene"
"n. gen. Septidelphis n. sp. morii","species","Zanclean"
"Pseudorca n. sp. yuanliensis","species","Piacenzian"
"Tursiops maugeanus","species","Holocene"
"Delphinus (Phocaena) n. sp. uncidens","species","Late Pliocene"
"Sousa n. sp. sahulensis","species","Holocene"
"Orcinus orca","species","Holocene"
"Tursiops truncatus","species","Holocene"
"Orcinus orca","species","Holocene"
"Orcinus orca","species","Holocene"
"Lagenorhynchus albirostris","species","Holocene"
"Orcinus orca","species","Holocene"
"Cephalorhynchus eutropia","species","Holocene"
"Cephalorhynchus heavisidii","species","Holocene"
"Steno bredanensis","species","Holocene"
"Steno bredanensis","species","Holocene"
"Steno bredanensis","species","Holocene"
"Steno bredanensis","species","Holocene"
"Steno bredanensis","species","Holocene"
"Steno bredanensis","species","Holocene"
"Steno bredanensis","species","Holocene"
"Steno bredanensis","species","Holocene"
"Steno bredanensis","species","Holocene"
"Steno bredanensis","species","Holocene"
"Sousa teuszii","species","Holocene"
"Tursiops truncatus","species","Holocene"
"Tursiops truncatus","species","Holocene"
"Tursiops truncatus","species","Holocene"
"Tursiops truncatus","species","Holocene"
"Tursiops truncatus","species","Holocene"
"Stenella attenuata","species","Holocene"
"Stenella attenuata","species","Holocene"
"Stenella attenuata","species","Holocene"
"Stenella attenuata","species","Holocene"
"Stenella attenuata","species","Holocene"
"Stenella attenuata","species","Holocene"
"Delphinus delphis","species","Holocene"
"Delphinus delphis","species","Holocene"
"Delphinus delphis","species","Holocene"
"Delphinus delphis","species","Holocene"
"Delphinus delphis","species","Holocene"
"Delphinus delphis","species","Holocene"
"Delphinus delphis","species","Holocene"
"Lagenodelphis hosei","species","Holocene"
"Lagenodelphis hosei","species","Holocene"
"Lagenodelphis hosei","species","Holocene"
"Lagenodelphis hosei","species","Holocene"
"Lagenodelphis hosei","species","Holocene"
"Lagenodelphis hosei","species","Holocene"
"Lagenodelphis hosei","species","Holocene"
"Lagenodelphis hosei","species","Holocene"
"Lagenodelphis hosei","species","Holocene"
"Lagenodelphis hosei","species","Holocene"
"Lagenorhynchus albirostris","species","Holocene"
