"Delphinus n. sp. guianensis","species","0.0117","0","12161"
"Sotalia n. sp. brasiliensis","species","0.0117","0","12161"
"Sotalia n. sp. borneensis","species","0.0117","0","12161"
"Sotalia n. sp. chinensis","species","0.0117","0","12161"
"Delphinus n. sp. fluviatilis","species","0.0117","0","12161"
"Delphinus (Steno) n. sp. lentiginosus","species","0.0117","0","12161"
"Sotalia n. sp. teuszii","species","0.0117","0","12161"
"Delphinus n. sp. plumbeus","species","0.0117","0","12161"
"Delphinus n. sp. coeruleoalbus","species","0.0117","0","12161"
"Delphinus n. sp. frontalis","species","0.0117","0","12161"
"Prodelphinus n. sp. graffmani","species","0.0117","0","12161"
"Stenella n. sp. pernettyi","species","0.0117","0","12161"
"Delphinus n. sp. aduncus","species","0.0117","0","12161"
"Delphinus n. sp. truncatus","species","0.0117","0","12161"
"Tursiops n. sp. gilli","species","0.0117","0","12161"
"Lagenodelphis n. sp. hosei","species","0.0117","0","12161"
"Delphinus n. sp. tursio","species","0.0117","0","12161"
"Lagenorhynchus n. sp. obliquidens","species","0.0117","0","12161"
"Delphinus n. sp. eutropia","species","0.0117","0","12161"
"Delphinus (Grampus) n. sp. heavisidei","species","0.0117","0","12161"
"Orca (Orcaella) n. sp. brevirostris","species","0.0117","0","12161"
"Delphinus n. sp. griseus","species","0.0117","0","12161"
"Delphinus n. sp. melas","species","0.0117","0","12161"
"Delphinus n. sp. globiceps","species","0.0117","0","12161"
"Delphinus aff. delphis","species","3.6","3","29544"
"Delphinus delphis","species","0.126","0.0117","30172"
"Tursiops truncatus","species","0.126","0.0117","30172"
"Orcinus orca","species","0.0117","0","30226"
"n. gen. Protoglobicephala n. sp. mexicana","species","3.6","2.588","30676"
"n. gen. Etruridelphis giulii","species","5.333","3.6","31571"
"Globicephala melas","species","0.126","0.0117","32979"
"Delphinus domeykoi","species","15.97","2.588","34357"
"n. gen. Platalearostrum n. sp. hoekmani","species","3.6","0.781","35743"
"Orcinus orca","species","0.126","0.0117","35842"
"Orcaella n. sp. heinsohni","species","0.0117","0","35929"
"Orcaella heinsohni","species","0.0117","0","35929"
"Orcaella heinsohni","species","0.0117","0","35929"
"Delphinus delphis","species","5.333","2.588","35932"
"Eudelphinus compressus","species","5.333","2.588","36661"
"Astadelphis gastaldii","species","5.333","3.6","39772"
"Astadelphis gastaldii","species","5.333","3.6","39772"
"Leucopleurus acutus","species","0.0117","0","40556"
"n. gen. Septidelphis n. sp. morii","species","5.333","2.588","46792"
"Pseudorca n. sp. yuanliensis","species","3.6","2.588","49904"
"Tursiops maugeanus","species","0.0117","0","50061"
"Delphinus (Phocaena) n. sp. uncidens","species","3.6","2.588","19136"
"Sousa n. sp. sahulensis","species","0.0117","0","52162"
"Orcinus orca","species","0.0117","0","32630"
"Tursiops truncatus","species","0.0117","0","32630"
"Orcinus orca","species","0.0117","0","32630"
"Orcinus orca","species","0.0117","0","32630"
"Lagenorhynchus albirostris","species","0.0117","0","32630"
"Orcinus orca","species","0.0117","0","32630"
"Cephalorhynchus eutropia","species","0.0117","0","54982"
"Cephalorhynchus heavisidii","species","0.0117","0","54983"
"Steno bredanensis","species","0.0117","0","54984"
"Steno bredanensis","species","0.0117","0","54984"
"Steno bredanensis","species","0.0117","0","54984"
"Steno bredanensis","species","0.0117","0","54984"
"Steno bredanensis","species","0.0117","0","54984"
"Steno bredanensis","species","0.0117","0","54984"
"Steno bredanensis","species","0.0117","0","54984"
"Steno bredanensis","species","0.0117","0","54984"
"Steno bredanensis","species","0.0117","0","54984"
