"Goniodelphis hudsoni","-81.800003","27.900000"
"Balaenoptera floridana","-81.800003","27.900000"
"n. gen. Kogiopsis n. sp. floridana","-81.800003","27.900000"
"n. gen. Squaloziphius n. sp. emlongi","-124.245277","48.263611"
"Delphinus n. sp. occiduus","-122.620277","37.485279"
"n. gen. Piscolithax n. sp. longirostris","-74.719719","-15.580833"
"Schizodelphis n. sp. depressus","-81.824997","27.818001"
"n. gen. Pliopontos n. sp. littoralis","-74.719719","-15.580833"
"n. gen. Odobenocetops n. sp. peruvianus","-74.719719","-15.580833"
"Schizodelphis n. sp. bobengi","-81.973999","27.895000"
"Ontocetus n. sp. oxymycterus","-119.723053","34.395557"
"n. gen. Incacetus n. sp. broggii","-75.388870","-14.774381"
"n. gen. Scaphokogia n. sp. cochlearis","-74.781944","-15.482778"
"n. gen. Australithax n. sp. intermedia","-74.871994","-15.441929"
"Brachydelphis mazeasi","-75.671387","-14.558056"
"n. gen. Atocetus n. sp. iquensis","-75.671387","-14.558056"
"n. gen. Belonodelphis n. sp. peruanus","-75.671387","-14.558056"
"Megaptera n. sp. miocaena","-120.440559","34.605556"
"Zarhachis flagellator","-76.533333","38.674999"
"n. gen. Kentriodon n. sp. pernix","-76.533333","38.674999"
"Eurhinodelphis n. sp. bossi","-76.533333","38.674999"
"n. gen. Australodelphis n. sp. mirus","78.133331","-68.641670"
"n. gen. Idiophyseter n. sp. merriami","-120.808891","35.561111"
"Cetotherium n. sp. furlongi","-120.544724","36.015278"
"n. gen. Aulophyseter n. sp. morricei","-118.500000","35.299999"
"n. gen. Parietobalaena n. sp. palmeri","-76.516670","38.581669"
"n. gen. Tusciziphius n. sp. crispus","11.363333","43.306110"
"n. gen. Nannocetus n. sp. eremus","-118.449722","34.401943"
"n. gen. Xenorophus n. sp. sloanii","-80.088608","32.963333"
"""Balaenoptera"" ryani","-121.893997","36.599998"
"n. gen. Pelocetus n. sp. calvertensis","-76.505836","38.504166"
"n. gen. Messapicetus n. sp. longirostris","18.201389","40.313610"
"n. gen. Vanbreenia n. sp. trigonia","6.733333","51.966667"
"Diorocetus hiatus","-76.505836","38.504166"
"Aglaocetus n. sp. patulus","-76.847778","38.166389"
"Pelocetus calvertensis","-76.847778","38.166389"
"n. gen. Hadrodelphis n. sp. calvertense","-76.505836","38.504166"
"Lophocetus n. sp. pappus","-76.516670","38.547779"
"Lophocetus pappus","-76.505836","38.504166"
